id,quest_item_group_id,item_id
9,1,3507
11,1,3515
38,1,8048
39,1,8052
66,2,3557
67,2,7992
68,2,7994
69,2,7998
70,2,8001
71,2,8010
72,2,8012
73,2,8016
74,2,8018
76,3,15701
81,4,16186
82,4,16187
83,4,16188
84,4,16189
85,4,16190
86,4,16191
87,4,16192
88,4,16193
89,4,16194
90,2,16232
91,2,7763
92,2,8006
93,4,16223
94,4,16224
95,4,16243
96,5,16239
97,5,16231
98,5,16228
99,5,16227
112,8,25245
114,8,25099
115,1,7747
116,1,19944
117,1,19945
118,1,16221
119,1,26673
120,9,28557
121,9,28558
122,6,21191
123,6,21166
124,6,21167
125,6,21168
126,6,21169
127,6,21170
128,6,21171
129,6,21172
130,6,21173
131,6,21174
132,10,8518
133,10,29173
134,9,29288
