id,name,category_id
1,하르파 수련장의 수련생(테스트용),12
2,공사 현장의 돌들,2
3,황금 실타래 벌판의 위험요소들,10
4,벌거숭이 파수꾼,10
6,바람의 정령,0
7,피묻은 손,0
8,다후타 교단,9
9,부서지는 해안의 도적단,2
10,부서지는 해안의 오크들,2
11,하얀 숲의 방황하는 유령,6
12,거대 개미,0
13,하얀 숲 서부의 다시 돌아온 시체들,0
14,하얀 숲 심장부의 언데드 생명체,0
15,하얀 숲 심장부의 언데드 군대,0
17,검은갈기 놀 무리,6
18,코볼트 무리,0
19,농장 주변의 두들링 무리,10
21,사라세니아,9
22,황금 실타래 마을의 약탈자들,10
24,악마에게 홀린 사람들,0
25,갯바람 해안의 인어들,0
27,살리움 원혼 병사들,0
28,일리온 원혼군 병사들,0
29,피 묻은 손 농장의 농노들,0
30,불탄 성 피 묻은 손,0
31,토리니 정원의 야생동물들,10
32,토리니 정원의 하피들,10
33,마리아노플 농장의 습격자들,10
34,시실루스의 부하,0
35,하토라 주변의 어수선한 무리,0
36,마른 들판의 날카로운 발톱을 가진 무리,0
37,정체 모를 자,0
38,난폭한 상인과 수상한 여행자,0
39,대기 중인 자들(신분증 보여줄 자들),0
40,큰금니 부족 고블린,
41,검은자갈단,14
42,살덩어리맞을수있는몹들,0
43,짐마차 습격자들,0
44,벌거숭이 언덕에 있는 소란의 주범들,10
46,검은 돛 해적,14
48,흙 정령,0
50,인어 전사,0
51,인어 투척꾼,0
52,모래 먼지 마을 동쪽의 오크들,2
53,거상의 무덤을 소란스럽게 하는 오크 무리,0
54,원한어린 유령,0
55,망자의 무리,0
56,물 정령,0
57,두들링 무리,0
58,솔즈리드 멧돼지,0
59,망가진 시체들,0
60,성채의 원혼들,0
61,말,0
62,토끼,0
63,숲의 정기,0
64,바람정령,0
65,토리니 정원의 여우와 멧돼지,10
66,마리아노플의 위험한 빈민가,10
67,이즈나 경비대,19
69,시치미 약탈단,22
70,점박이 코볼트 무리,21
71,나라야나 훼방꾼,0
72,시궁쥐이빨 부족,0
73,기계폐기장의 분쇄기계들,0
74,시치미 약탈단,22
75,풀피리 바이암,22
76,고르곤,0
78,회상하는 숲의 저주받은 정령,0
79,바람 정령,0
81,고대의 숲 망자,0
82,호수의 수호자와 파수꾼,9
83,그위오니드 숲 나무정령,0
84,나무정령,9
85,검은수염 도적단,2
86,바람 초원의 바람 정령,0
87,핏빛안개 부족 오크,2
88,동틀녘 반도 여행자 무리,0
89,다후타 교단,0
90,하얀 숲 심장부의 언데드들 ,0
91,수상한 괴한,0
92,농땡이치는 광부,0
93,암사자와 수사자,32
94,변형식물,0
95,일곱 다리 마을 주민,0
96,추격자의 벌판의 사자 무리,0
97,하피 무리,0
98,노래의 땅의 샤오,0
99,술취한 논의 녹슨 기계,0
100,추격자의 벌판의 멧돼지 무리,0
101,메마른 가시밭의 거미 무리,0
102,바이암 무리,0
104,돌무덤 삼거리의 야수,0
105,돌무덤 삼거리의 피 묻은 손,0
106,흙 먼지 광산의 피 묻은 손,0
107,이글거리는 황야의 골칫거리,0
108,재회의 사당 아이에르 현신,0
110,들소 도둑,0
111,술 취한 논의 회색 해골,16
112,피 묻은 손 감독관,
113,피 묻은 손,0
114,모래성을 노리는 무리,0
115,붉은산호 부족 상어 인간,
116,별똥별 마을을 위협하는 자들,0
117,별똥별 광산을 위협하는 자들,0
118,눈 길 위의 방해꾼들,0
119,얼음 위의 순록무리,0
120,겨울의 포식자들 ,0
121,얼음 송곳니 오크 부족 ,0
122,씨앗 광산의 분노한 자들 ,0
123,찬바람 동굴의 주민들,0
124,맥주창고의 골칫덩이들 ,0
125,보리밭의 서리꾼들,0
126,폭주하는 쇠 골렘,0
127,술취한 논의 골칫거리들,0
128,뱀밭의 무법자들,0
129,눈물 젖은 언덕의 마물들,0
130,일곱 다리 마을 사람들,0
131,횃불만 소란의 주범자들,0
132,자운의 목장 골칫거리들,0
133,재회의 사당에 드리운 그림자 세력,0
134,고대의 숲의 저주받은 늑대 인간,
135,고대의 숲 독사,0
136,흑마법사의 하수인,0
137,거미 인간,0
138,별 모래 안식처 인어무리,0
139,나무거인,0
140,뱀밭의 뱀들,0
141,물레노래 들판 두들링 무리,0
142,물음표를 달고 있는 NPC,0
143,기계 폐기장의 기계들,0
144,동굴 안 코볼트들,0
145,얼음 송곳니 오크,0
146,구멍난 골짜기 두들링,0
147,기계제작소의 골칫거리,21
148,거미숲의 주인들,21
149,오염의 주범들,0
150,붉은 갈기 놀,0
151,코볼트 동굴의 점박이 코볼트,21
152,북 데비 강 상류의 야생동물들,21
153,불곰,0
154,백월만의 피 묻은 손,4
155,불한당 벨포 일당,0
156,탈 것,0
157,붉은 갈기 놀,23
158,시치미 약탈단과 그 하수인,0
159,마을 주민을 습격하는 오크 무리,0
160,나무껍질 슬라임,0
161,방황하는 시체들,0
162,독을 품은 동물들 사냥,0
163,바위 정령,0
164,철광산 노예 감독관,0
165,날뛰는 불 정령들,0
167,페피 무리,9
168,영혼의 안식처의 위협자들,0
169,다후타 교단,9
170,이즈나 왕도의 습격자들,15
171,환상 습지대 침범자들,9
172,해안의 위협자들,15
173,검은 쇠고리 오크 무리,15
174,솔즈리드 야생 동물,0
176,결투 대회 참가자,8
177,길들어진 오우거,0
178,굶주린 평원 여우 무리,0
179,검은 수염 도적단 강도와 사기꾼,2
180,수호자들에게 닥친 공포,0
181,하얀 숲 서부의 떠도는 시체들,0
182,부러진 날개의 형제회 용병,0
183,푸른 수정을 찾는 노예 코볼트들,6
184,하얀 숲의 서성이는 유령들,0
185,하얀 숲 동부의 되살아난 시체들,0
186,하얀 숲 동부의 살덩이 골렘들,0
187,뱀의 틈에 맺힌 죽음의 기운,0
188,황야의 무법자들과 대결,0
189,호랑이 꼬리의 바이암 습격자들,0
190,하피 둥지의 골칫거리들,0
191,돌을 위한 연회장의 하피들,0
192,거대한 벌집의 거주자들,0
193,붉은 이끼 동굴의 거주자들,0
194,검은 갈기 일족 놀 무리 사냥,0
195,정신나간 골렘들,2
196,야영지를 노리는 검은수염 도적단,2
197,소란스런 들판의 여우 무리,0
198,돌의 형제회,2
199,호랑이 눈 총독 비서 엘루아스,0
200,결투 대회 참가자,8
201,네손가락 도적단,
202,난파된 황금바다 해적단,15
203,부상당한 위페르,8
204,평원 거미,0
205,비늘 도마뱀,0
206,상단을 위협하는 야수,24
207,릴리엇 야생동물,0
208,무너진 성채의 위협자,24
209,베어 일당,24
210,무쇠엄니 부족,24
211,은신하는 요정들,0
212,론반 광산의 광인들,24
213,사나운 맹수,0
214,잿빛안개 부족,22
215,마하데비 인어,0
216,마하데비 고릴라 퇴치,0
217,마하데비 물소,0
218,검은 바위 해안 상어 인간,
219,돌 해안의 갑각류,
220,여왕의 탑 채석장의 코볼트,17
221,하얀날개 아스트라,
222,이즈나 순찰대,0
223,울부짖는 미노타우르스들,15
224,과수원 습격자들,0
225,붉은 구월단 혁명가들,15
226,노예 탄압자들,15
227,오색 들판 농경지 경비대,15
228,연기나는 해안의 물 정령들,14
229,일벌백계 폐허의 원혼,0
230,흉포한 시체와 부패한 시체,6
231,바위비늘 쌍두사 무리,0
232,들소몰이 벌판의 들소떼,0
233,검은고리 부족 오크,14
234,매사냥 고원의 동물,0
235,바람자취 부족의 적,0
236,잿빛안개 부족의 적,0
237,옥시언 상단의 적,0
238,흰 구름결 부족의 적,0
239,하얀 숲의 의심스런 수호자들,0
240,무자비한 광산 경비대,15
241,파비트라 대여제 전사지의 망령들,14
242,식물학자를 괴롭히는 고블린들,14
243,여왕의 언덕 골칫거리 정령들,14
244,잊혀진 자들,24
245,반달 여우인간과 변신한 여우,0
246,무기상인,0
247,건축 상인,0
248,성지기 언덕의 놀들,0
249,흙먼지 구릉 바람 정령들,15
250,도망자의 길을 점령한 음흉한 무리들,0
252,탐욕스런 두들링들,15
253,일식 벌판의 포식자들,0
