id,quest_monster_group_id,npc_id
30,6,518
31,6,517
32,6,555
33,7,3489
34,7,3463
95,9,791
96,9,792
97,9,793
98,10,794
99,10,795
100,10,796
111,14,2013
112,14,2014
113,14,2037
114,15,2013
115,15,2014
116,15,2037
128,18,2020
129,18,2021
130,18,2043
131,18,2044
132,17,2024
133,17,2025
134,17,2026
150,12,779
151,12,773
152,12,782
153,21,509
154,21,510
192,28,2325
193,28,2326
194,28,2327
195,28,2328
196,28,2329
221,34,1818
222,34,1819
223,34,1820
224,34,1821
225,34,1822
236,39,2945
237,39,2946
238,39,2949
239,39,2950
248,42,2036
249,42,2037
250,42,2038
263,46,2921
264,46,2922
265,46,2923
266,46,2924
272,24,2348
273,24,2366
274,37,2965
275,37,2966
280,40,2901
281,40,2902
282,40,2903
285,29,2347
286,29,2365
287,38,2943
288,38,2944
289,38,2947
290,38,2948
291,48,2914
292,48,2915
299,50,2350
300,50,2355
301,51,2351
302,51,2356
317,30,2360
318,30,2361
319,30,2362
320,30,2363
321,30,2370
322,30,2367
323,30,2342
324,30,2343
325,30,2344
334,55,1762
335,55,1763
336,55,1764
338,56,2909
339,56,2908
340,57,3466
341,57,3467
342,57,3468
343,57,3465
344,57,3462
347,25,2352
348,25,2353
349,25,2354
350,25,2357
351,25,2358
352,25,2359
353,25,2350
354,25,2351
355,25,2355
356,25,2356
357,59,3453
358,59,3454
359,59,3455
360,60,3456
361,60,3457
362,60,3458
363,60,3459
364,61,3599
365,61,504
366,62,3464
367,62,5566
368,62,5567
369,63,627
370,63,3677
395,67,5571
396,67,5572
397,67,5573
404,70,3349
405,70,3350
406,71,3347
407,71,3348
411,73,3356
412,73,3359
413,75,4190
414,75,4191
415,75,4192
416,75,4193
417,75,4194
418,75,4195
419,75,4196
420,76,2269
421,76,2270
422,76,2271
429,69,5731
430,69,5732
431,69,5733
432,69,5734
436,79,4185
437,79,4187
440,74,5737
441,74,5738
442,74,5739
443,74,5740
446,81,3306
447,81,3308
450,83,506
451,83,507
452,83,508
456,64,517
457,64,518
458,64,555
463,84,506
464,84,507
465,84,508
472,58,3475
473,58,3594
491,88,2943
492,88,2944
493,88,2945
494,88,2946
495,88,2947
496,32,536
497,32,5151
499,32,5128
504,89,1853
505,89,1854
506,89,1857
507,89,1856
508,66,553
509,66,554
527,90,2036
528,90,2037
529,90,2013
537,2,692
538,2,693
539,2,5846
540,78,508
541,78,3676
542,78,6462
558,91,2669
559,91,5199
560,92,2200
561,92,2199
562,54,3483
563,93,4829
564,93,4830
565,94,3132
566,94,3133
567,95,5000
568,95,5001
569,96,4829
570,96,4830
571,97,4831
572,97,4858
574,98,5057
575,98,5038
578,99,5112
579,99,5113
580,100,4827
581,100,4887
582,101,4832
583,101,4833
594,105,4840
595,105,4841
596,105,4842
597,106,4849
598,106,4850
599,106,4851
600,106,4852
601,106,4853
606,108,5071
609,110,7271
610,110,5088
614,111,5014
615,111,5015
616,111,5023
617,27,2320
618,27,2321
619,27,2322
620,27,2323
621,27,2324
622,102,4834
623,102,4835
624,102,4836
625,102,4884
626,112,2380
627,112,2381
632,104,4838
633,104,4847
634,104,4848
638,113,4840
639,113,4841
640,113,4842
643,114,7319
644,114,7322
648,116,4574
649,116,4575
650,117,4759
651,117,4684
654,119,4728
655,119,4729
659,121,4625
660,121,4621
661,121,4730
662,122,4731
663,122,4596
664,122,4598
665,123,4609
666,123,4596
667,124,4631
668,124,4632
669,124,4633
670,125,4615
671,125,4727
672,126,4732
682,128,5009
683,128,5020
684,128,5021
685,128,5022
686,129,5012
687,129,5031
688,129,5005
689,129,7214
690,130,5000
691,130,5001
692,130,5078
693,130,5080
694,130,5013
695,131,5006
696,131,5007
697,131,5008
698,132,7271
699,132,5088
700,132,5037
701,133,7273
702,133,5018
703,133,5019
706,135,3330
707,135,3331
714,134,7550
715,134,7551
716,107,4856
717,107,4855
718,107,4888
719,138,7439
720,138,7440
721,138,7441
722,127,5016
723,127,5112
724,127,5113
725,136,3328
726,136,7487
727,136,7488
728,136,3109
729,139,3106
730,139,3140
731,139,3105
732,137,3103
733,137,3307
734,140,7420
735,140,7421
736,141,7414
737,141,7415
738,141,7416
739,141,7417
741,142,4220
750,118,4726
751,144,3369
752,144,3370
753,145,4622
754,145,4621
755,145,4625
756,146,4612
757,146,4633
758,146,4631
759,146,4632
760,147,3349
761,147,3350
762,148,3351
763,148,3354
764,148,3355
775,151,3369
776,151,3370
777,151,3371
790,149,5777
791,149,3356
792,149,3357
793,149,3358
794,149,3359
795,149,3360
796,149,3361
797,149,3362
798,152,3367
799,152,3366
800,152,3368
801,152,3364
802,152,3365
803,153,7674
804,153,7648
808,155,3484
809,155,3497
810,155,7675
811,156,7087
812,156,7044
813,156,7110
814,156,7111
815,156,7185
816,156,7043
817,156,5435
818,156,5434
819,156,5433
820,156,5432
821,156,5431
822,156,5430
823,156,4944
828,72,4180
829,72,4181
830,72,4182
834,158,7884
835,158,7885
836,158,7886
837,158,7887
844,160,4179
845,160,7952
858,163,3676
859,163,7646
860,82,512
861,82,513
872,19,542
873,19,543
874,19,544
875,19,545
876,19,636
877,164,1782
878,120,4626
879,120,4628
892,167,522
893,167,523
894,167,524
