id,quest_name_kind_id,quest_context_id,name
320,1,213,그위오니드 숲
340,1,224,그위오니드 숲
880,1,598,서브네임 - sub
881,2,598,서브네임 - progress
1625,1,1044,존 이름
1626,2,1044,연계퀘스트제목
1634,2,988,돕고 사는 드워프
1638,2,990,노천 광산에서 생긴 일
1640,2,991,광산에서 생긴 일
1642,2,992,숲의 그림자
1646,2,994,육현인의 석상
1648,2,1014,육현인의 석상
1660,2,1000,풍요로운 지옥의 젊은 순록 드워프
1662,2,1001,풍요로운 지옥의 젊은 순록 드워프
1668,2,1005,검독수리마루 여관
1670,2,1006,카페테리아
1672,2,1007,그나데와 자연환경
1678,2,1010,그나데와 자연환경
1680,2,1011,그나데와 자연환경
1682,2,1012,아스트라의 동굴
1684,2,1013,아스트라의 동굴
1688,2,1016,훈훈한 가족
1690,2,1017,훈훈한 가족
1692,2,1018,훈훈한 가족
1700,2,1022,검독수리마루 여관
1702,2,1023,술꾼 피히테
1704,2,1024,찬바람 동굴
1706,2,1025,찬바람 동굴
1708,2,1026,찬바람 동굴
1710,2,1027,검독수리마루 마을의 골칫거리
1712,2,1028,검독수리마루 마을의 골칫거리
1716,2,1030,맨발고개의 보리밭
1718,2,1031,맨발고개의 보리밭
1722,2,1033,어느 드워프의 잃어버린 기억
1728,2,1036,순록 드워프의 생존을 위한 투쟁
1730,2,1037,순록 드워프의 생존을 위한 투쟁
1732,2,1038,순록 회유지의 순록들
1734,2,1039,순록 회유지의 순록들
1738,2,1041,순록 회유지의 순록들
1740,2,1042,영광의 다리
1742,2,1043,영광의 다리
1886,2,997,순록 드워프의 생존을 위한 투쟁
2096,1,1245,날아오르는 매
2105,1,1254,호랑이 등뼈 산맥
2106,1,1255,호랑이 등뼈 산맥
2108,1,1257,호랑이 등뼈 산맥
2144,2,1298,순록 드워프의 증표
2264,2,1431,안델프 에피소드
2267,1,1434,team msg test
2268,2,1434,test
2281,1,1424,가랑돌 평원
2324,1,1414,호랑이 등뼈 산맥
2408,1,1525,솔즈리드 반도
2472,1,1572,호랑이 등뼈 산맥
2613,1,1649,탑을 흔드는 미풍
2814,1,1711,침묵의 거상
2899,2,1930,겨울 바람에 눈발은 날리고
2901,2,1932,돕고 사는 드워프 
2903,2,1933,습격받은 광산 
2905,2,1934,습격받은 광산
2907,2,1935,습격받은 광산
2909,2,1936,육현인의 석상 
