id,name,comment,scope_from,scope_to
1,신화,20등까지 상위권,1,20
2,전설,그래도 최상위권,21,50
3,서사,여전히 상위권,51,100
4,경이,상위,101,300
5,유물,슬슬 떨어진다,301,500
6,유일,많이 떨어졌네,501,1000
7,영웅,어휴 올라가기 힘들겠다,1001,1500
8,고대,떨어질데가 있네 아직,1501,2000
9,희귀,아후 맨날 지네,2001,2500
10,고급,이제 시작이야,2501,3000
11,신화,대어 낚시 최고 길이 1 ~ 10,1,10
12,전설,대어 낚시 최고 길이 11 ~ 20,11,20
13,서사,대어 낚시 최고 길이 21 ~ 50,21,50
14,경이,대어 낚시 최고 길이 51 ~ 100,51,100
15,유물,대어 낚시 최고 길이 101 ~ 300,101,300
16,유일,대어 낚시 최고 길이 301 ~ 500,301,500
17,영웅,대어 낚시 최고 길이 501 ~ 1000,501,1000
18,고대,대어 낚시 최고 길이 1001 ~ 2000,1001,2000
19,희귀,대어 낚시 최고 길이 2001 ~ 3000,2001,3000
20,고급,대어 낚시 최고 길이 3001 ~ 5000,3001,5000
21,신화,대어 낚시 무게 합산 1 ~ 10,1,10
22,전설,대어 낚시 무게 합산 11 ~ 20,11,20
23,서사,대어 낚시 무게 합산 21 ~ 50,21,50
24,경이,대어 낚시 무게 합산 51 ~ 100,51,100
25,유물,대어 낚시 무게 합산 101 ~ 300,101,300
26,유일,대어 낚시 무게 합산 301 ~ 500,301,500
27,영웅,대어 낚시 무게 합산 501 ~ 1000,501,1000
28,고대,대어 낚시 무게 합산 1001 ~ 2000,1001,2000
29,희귀,대어 낚시 무게 합산 2001 ~ 3000,2001,3000
30,고급,대어 낚시 무게 합산 3001 ~ 5000,3001,5000
31,신화,레이싱 1 ~ 10,1,10
32,전설,레이싱 11 ~ 20,11,20
33,서사,레이싱 21 ~ 50,21,50
34,경이,레이싱 51 ~ 100,51,100
35,유물,레이싱 101 ~ 300,101,300
36,유일,레이싱 301 ~ 500,301,500
37,영웅,레이싱 501 ~ 1000,501,1000
38,고대,레이싱 1001 ~ 2000,1001,2000
39,희귀,레이싱 2001 ~ 3000,2001,3000
40,고급,레이싱 3001 ~ 5000,3001,5000
