id,use_fixed_value,fixed_min,fixed_max,use_level_value,level_md,level_va_start,level_va_end,percent
1,t,2000,2000,f,1.0,0,0,f
2,t,50,50,f,1.0,0,0,f
3,t,125,125,f,1.0,0,0,f
4,t,55,55,f,1.0,0,0,f
5,t,80,80,f,1.0,0,0,f
6,t,95,95,f,1.0,0,0,f
7,t,465,465,f,1.0,0,0,f
8,t,716,716,f,1.0,0,0,f
9,t,100,100,f,1.0,0,0,t
10,t,250,300,f,1.0,0,0,f
11,t,400,600,f,1.0,0,0,f
12,t,800,1100,f,1.0,0,0,f
13,t,1400,1700,f,1.0,0,0,f
14,t,2000,2400,f,1.0,0,0,f
15,t,2600,2800,f,1.0,0,0,f
16,t,910,1005,f,1.0,0,0,f
17,t,1065,1178,f,1.0,0,0,f
18,t,1226,1355,f,1.0,0,0,f
19,t,1392,1539,f,1.0,0,0,f
20,t,7,7,f,1.0,0,0,t
21,t,36,36,f,1.0,0,0,t
22,t,3,3,f,1.0,0,0,t
23,t,30,40,f,1.0,0,0,f
24,t,40,40,t,0.4,0,0,f
32,t,25,25,f,1.0,0,0,t
33,t,125,125,f,1.0,0,0,f
35,t,240,600,f,1.0,0,0,f
36,t,45,45,f,1.0,0,0,t
37,t,50,50,f,1.0,0,0,t
38,t,100,100,f,1.0,0,0,f
39,t,30,30,f,1.0,0,0,t
40,t,25,25,f,1.0,0,0,t
41,t,75,75,f,1.0,0,0,t
42,t,600,600,f,1.0,0,0,f
43,t,1200,1200,f,1.0,0,0,f
44,t,1800,1800,f,1.0,0,0,f
45,t,2600,2600,f,1.0,0,0,f
46,t,125,125,f,1.0,0,0,f
47,t,2000,2000,f,1.0,0,0,f
48,t,2000,2400,f,1.0,0,0,f
49,t,3,3,f,1.0,0,0,t
50,t,60,60,f,1.0,0,0,t
51,t,546,594,f,1.0,0,0,f
52,t,665,724,f,1.0,0,0,f
53,t,772,840,f,1.0,0,0,f
54,t,400,600,f,1.0,0,0,f
55,t,100,100,f,1.0,0,0,f
58,t,200,200,f,1.0,0,0,f
59,t,116,196,f,1.0,0,0,f
60,t,20000,20000,f,1.0,0,0,f
61,t,1,1,f,1.0,0,0,t
62,t,2,2,f,1.0,0,0,t
63,t,3,3,f,1.0,0,0,t
66,t,96,160,f,1.0,0,0,f
67,t,72,124,f,1.0,0,0,f
68,f,0,0,t,3.0,10,10,f
69,t,500,1000,f,1.0,0,0,f
70,t,50,100,f,1.0,0,0,f
71,t,250,350,f,3.0,10,10,f
72,t,4,4,f,1.0,0,0,t
73,t,30,30,f,1.0,0,0,t
75,t,4000,4000,f,1.0,0,0,f
76,t,8,8,f,1.0,0,0,t
77,t,720,720,f,1.0,0,0,f
78,t,1440,1440,f,1.0,0,0,f
79,t,2160,2160,f,1.0,0,0,f
80,t,3120,3120,f,1.0,0,0,f
81,t,4800,4800,f,1.0,0,0,f
84,t,2000,2000,f,1.0,0,0,f
85,t,750,1000,f,1.0,0,0,f
87,t,2600,2800,f,1.0,0,0,f
89,t,1,2,f,1.0,0,0,t
90,t,1000,2000,f,1.0,0,0,f
