id,normal,velocity,mass,mass_center_x,mass_center_y,mass_center_z,mass_box_size_x,mass_box_size_y,mass_box_size_z,water_damping,water_density,water_resistance,damaged50,dead,damaged25,damaged75,tube_length,tube_radius,tube_offset_z,keel_length,keel_height,keel_offset_z,steer_vel,accel,reverse_accel,reverse_velocity,turn_accel
1,prefab://Prefabs/ship.xml/caravel.ship_body,6.5,40000.0,0.0,0.0,-1.0,6.0,20.0,5.0,0.0,1.0,1.0,prefab://Prefabs/ship.xml/caravel.ship_des1,prefab://Prefabs/ship.xml/caravel.ship_des2,prefab://Prefabs/ship.xml/caravel.ship_des1,prefab://Prefabs/ship.xml/caravel.ship_des1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,5.0,1.0
2,prefab://Prefabs/ship.xml/caravel.ship_body,10.8,40000.0,0.0,0.0,-1.0,5.0,20.0,5.0,0.0,80.01,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,5.0,1.0
3,prefab://Prefabs/speedboat.xml/speedboat_a.speedboat_a,13.0,5000.0,0.0,0.0,3.0,4.0,8.0,7.0,0.0,1.0,1.0,prefab://Prefabs/speedboat.xml/speedboat_a.speedboat_a_damage50,prefab://prefabs/speedboat.xml/speedboat_a.speedboat_a_dead,prefab://prefabs/speedboat.xml/speedboat_a.speedboat_a_damage50,prefab://prefabs/speedboat.xml/speedboat_a.speedboat_a_damage75,0.0,0.0,0.0,0.0,0.1,0.0,5.0,1.0,0.5,5.0,1.5
4,prefab://prefabs/smallboat.xml/smallboat.smallboat_a,6.4,800.0,0.0,0.0,0.0,1.0,3.0,0.5,0.0,0.7,1.0,prefab://Prefabs/smallboat.xml/smallboat.smallboat_damege50,prefab://prefabs/smallboat.xml/smallboat.smallboat_dead,prefab://prefabs/smallboat.xml/smallboat.smallboat_damege50,prefab://Prefabs/smallboat.xml/smallboat.smallboat_damege75,3.0,0.6,1.0,3.3,0.6,0.0,6.0,1.0,1.0,3.5,9.9
5,prefab://Prefabs/ship.xml/ray.ship_body,8.6,300.0,0.0,0.0,-1.0,1.0,5.0,1.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,5.0,1.0
6,prefab://Prefabs/galleon.xml/galleon.step_10galleon_normal,12.6,45000.0,0.0,3.0,-4.0,6.5,30.0,14.5,0.0,1.0,1.0,prefab://prefabs/galleon.xml/galleon.damaged25,prefab://Prefabs/galleon.xml/galleon.dead,prefab://Prefabs/galleon.xml/galleon.damaged25,prefab://Prefabs/galleon.xml/galleon.damaged75,19.0,5.0,4.0,0.0,0.2,0.0,1.0,1.0,0.5,5.0,1.0
7,prefab://Prefabs/galleon01.xml/galleon01.step_10galleon_normal,12.6,45000.0,0.0,-4.0,-1.0,6.5,30.0,14.5,0.0,1.0,1.0,prefab://Prefabs/galleon01.xml/galleon01.damaged25,prefab://Prefabs/galleon01.xml/galleon01.dead,prefab://Prefabs/galleon01.xml/galleon01.damaged25,prefab://Prefabs/galleon01.xml/galleon01.damaged75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,5.0,1.0
8,prefab://Prefabs/galleon02.xml/galleon02.galleon_step10_normal,9.6,45000.0,0.0,-4.0,-1.5,6.5,30.0,14.5,0.0,1.0,1.0,prefab://Prefabs/galleon02.xml/galleon02.damaged25,prefab://Prefabs/galleon02.xml/galleon02.dead,prefab://Prefabs/galleon02.xml/galleon02.damaged25,prefab://Prefabs/galleon02.xml/galleon02.damaged75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,5.0,1.0
9,prefab://Prefabs/galleon_pirate01.xml/pirate.step_10pirate_normal,19.6,45000.0,0.0,3.0,-4.0,6.5,30.0,14.5,0.0,1.0,1.0,prefab://prefabs/galleon_pirate01.xml/pirate.damaged25,prefab://prefabs/galleon_pirate01.xml/pirate.dead,prefab://Prefabs/galleon_pirate01.xml/pirate.damaged25,prefab://prefabs/galleon_pirate01.xml/pirate.damaged75,19.0,5.0,4.0,0.0,0.2,0.0,1.0,1.0,0.5,5.0,1.0
10,prefab://prefabs/galleon.xml/galleon.woodpiece01,5.0,200.0,0.0,0.0,0.0,1.0,5.0,0.5,0.0,1.0,1.0,cgf://objects/env/06_unit/01_ship/galleon/galleon_item03.cgf,cgf://objects/env/06_unit/01_ship/galleon/galleon_item03.cgf,cgf://objects/env/06_unit/01_ship/galleon/galleon_item03.cgf,cgf://objects/env/06_unit/01_ship/galleon/galleon_item03.cgf,0.0,0.0,0.1,0.0,0.0,0.0,30.0,1.0,0.5,5.0,40.0
