id,name,main_model_id,item_id,ceremony_model_id,ceremony_anim_key,ceremony_anim_time,spawn_offset_front,spawn_offset_z,build_radius,tax_duration,origin_item_id,taxation_id
1,이즈나 소형 범선 건조대(사용 안함),683,5223,683,ceremony,24000,40.6,-9.0,30,0,0,1
2,탑의 도시 소형 범선 제작대(사용 안함),685,13709,685,ceremony,25000,40.6,-9.0,30,0,0,1
3,이즈나 소형 범선 제작대2(사용 안함),684,13709,685,ceremony,25000,40.6,-9.0,30,0,0,1
4,오스테라 소형 범선 제작대(사용 안함),687,150,687,ceremony,25000,40.6,-9.0,30,0,0,1
5,이즈나 소형 범선 건조대,680,5223,683,ceremony,27000,40.6,-9.0,25,259200000,14782,3
6,으르렁거리는 소형 범선 건조대,958,13711,959,ceremony,27000,40.6,-9.0,30,259200000,17705,5
7,작살 쾌속정 건조대,966,15816,967,ceremony,12000,23.7,-10.0,18,259200000,17707,2
8,비파 소형 범선 건조대,1268,25739,1267,ceremony,27000,40.6,-9.0,30,259200000,15563,3
9,쾌속정 건조대(보류),966,17626,967,ceremony,12000,23.7,-10.0,30,86400000,17861,1
10,작살 쾌속정 건조대(1단계 테스트),966,15816,967,ceremony,12000,23.7,-10.0,30,0,0,1
11,이즈나 소형 범선 건조대(1단계 테스트 용),680,5223,683,ceremony,27000,40.6,-9.0,30,0,0,1
12,모험의 쾌속정 건조대,966,23618,967,ceremony,12000,23.7,-10.0,18,259200000,23636,2
13,무역선 건조대,1269,23398,1263,ceremony,27000,40.6,-9.0,25,259200000,23698,10
14,조용한 탐구자의 어선 건조대(하자),1399,27135,1400,ceremony,12000,25.6,-10.0,20,259200000,28013,3
15,조용한 탐구자의 어선 건조대,1399,27135,1400,ceremony,12000,26.0,-11.1,20,259200000,28013,3
