id,skill_id,effect_id,weight,start_level,end_level,friendly,non_friendly,target_buff_tag_id,target_nobuff_tag_id,source_buff_tag_id,source_nobuff_tag_id,chance,front,back,target_npc_tag_id,application_method_id,synergy_text,consume_source_item,consume_item_id,consume_item_count,always_hit
1,2,1,0,1,99,t,t,,,,,100,t,f,,1,f,f,,1,f
2,3,2,0,1,99,t,t,,,,,100,t,f,,1,f,f,0,1,f
48,7001,33,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
49,10001,34,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
50,10002,35,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
51,4,36,0,1,99,t,t,,,,,100,t,f,,1,f,f,0,1,f
53,8001,38,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
54,8001,39,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
78,10003,54,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
86,10019,62,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
87,10009,63,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
88,10020,64,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
89,10021,65,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
90,10022,66,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
106,10023,81,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
112,10026,85,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
113,10027,86,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
114,10028,87,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
118,10029,90,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
182,10088,153,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
183,10090,154,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
184,10090,155,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
192,10097,163,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
197,10099,168,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
198,10100,169,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
204,10107,174,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
221,10120,190,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
222,10121,191,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
223,10122,192,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
224,10123,193,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
243,10135,206,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
271,10151,233,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
272,10151,234,0,1,99,t,t,,120,,,100,t,t,,1,f,f,,1,f
273,10152,235,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
274,10153,236,0,10,19,t,t,,,,,100,t,t,,1,f,f,,1,f
281,10159,243,0,1,99,t,t,,6,,,100,t,t,,1,f,f,,1,f
282,10159,244,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
307,10134,269,0,1,99,t,t,,120,,,100,t,t,,1,f,f,,1,f
313,10180,275,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
315,10187,277,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
316,10187,278,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
317,10187,279,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
319,10188,308,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
322,10192,311,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
326,10194,322,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
327,10195,323,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
328,10196,324,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
329,10197,325,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
