id,owner_id,owner_type,tag_id,skill_attribute_id,unit_modifier_type_id,value,skill_id,synergy
1,157,Buff,4,0,0,1000,,f
2,274,Buff,1,4,1,-50,,f
3,274,Buff,6,4,1,-50,,f
4,274,Buff,10,4,1,-50,,f
5,274,Buff,11,4,1,-50,,f
6,274,Buff,12,4,1,-50,,f
7,274,Buff,13,4,1,-50,,f
8,274,Buff,14,4,1,-50,,f
9,356,Buff,,3,0,2,10665,f
14,358,Buff,,3,0,1,10710,f
16,360,Buff,62,3,0,2,,f
17,360,Buff,62,4,0,-1,,f
21,356,Buff,,11,0,2000,10201,f
22,181,Buff,109,2,0,7,,f
23,181,Buff,110,2,0,7,,f
24,511,Buff,,4,0,-5000,11347,f
25,511,Buff,,4,0,-5000,11330,f
109,576,Buff,109,2,1,50,,f
110,576,Buff,110,2,1,50,,f
113,127,Buff,,10,1,47,11597,t
119,889,Buff,109,2,0,5,,f
120,889,Buff,110,2,0,5,,f
122,962,Buff,176,2,0,5,,f
124,964,Buff,176,0,1,-12,,f
125,964,Buff,177,0,1,-12,,f
126,127,Buff,,10,1,52,10710,t
128,970,Buff,205,0,1,50,,f
140,970,Buff,205,10,1,50,,f
150,1854,Buff,,4,1,-10,13974,f
151,1854,Buff,,4,1,-10,13975,f
152,1854,Buff,,4,1,-10,13976,f
153,1854,Buff,,4,1,-10,13977,f
154,1854,Buff,,4,1,-10,13978,f
155,1854,Buff,,4,1,-10,13990,f
156,1854,Buff,,4,1,-10,13991,f
157,1854,Buff,,4,1,-10,13992,f
158,1854,Buff,,4,1,-10,13993,f
159,1854,Buff,,4,1,-10,13994,f
160,1853,Buff,,4,1,-30,10594,f
161,1853,Buff,,1,1,-30,10594,f
162,1852,Buff,,4,1,-30,14574,f
163,1883,Buff,,10,1,100,14396,f
164,1883,Buff,,10,1,100,14439,f
165,1852,Buff,,4,1,-30,14575,f
170,1852,Buff,,4,1,-30,14641,f
171,1852,Buff,,4,1,-30,14642,f
192,962,Buff,177,2,0,5,,f
195,2300,Buff,109,2,1,50,,f
196,2300,Buff,110,2,1,50,,f
198,2323,Buff,378,1,1,-100,,f
199,2323,Buff,378,4,1,-80,,f
204,781,Buff,387,4,1,-32,,f
205,2323,Buff,378,0,1,-50,,f
214,402,Buff,415,1,1,-20,,f
215,403,Buff,415,1,1,-25,,f
216,404,Buff,415,1,1,-30,,f
217,544,Buff,,4,0,-10000,10752,f
218,544,Buff,,4,0,-10000,10667,f
219,544,Buff,,4,0,-10000,10153,f
220,544,Buff,,4,0,-10000,10670,f
221,544,Buff,,4,0,-10000,12796,f
222,544,Buff,,4,0,-10000,11314,f
223,544,Buff,,4,0,-10000,10689,f
224,544,Buff,,4,0,-10000,11939,f
225,544,Buff,,4,0,-10000,10151,f
226,544,Buff,,4,0,-10000,11967,f
227,544,Buff,,4,0,-10000,14774,f
228,544,Buff,,4,0,-10000,11512,f
229,544,Buff,,4,0,-10000,10664,f
230,2548,Buff,482,1,1,20,,f
234,2727,Buff,,4,0,-10000,10752,f
235,2727,Buff,,4,0,-10000,14376,f
236,2727,Buff,,4,0,-10000,13265,f
239,888,Buff,,1,1,-10,10481,f
240,888,Buff,,1,1,-10,15096,f
242,888,Buff,,1,1,-10,13564,f
243,888,Buff,,1,1,-10,16210,f
244,888,Buff,,1,1,-10,12139,f
245,888,Buff,,1,1,-10,11330,f
246,888,Buff,,1,1,-10,13281,f
249,2910,Buff,,10,1,15,10752,f
250,2910,Buff,,10,1,15,10667,f
252,2910,Buff,,10,1,15,10670,f
256,2910,Buff,,10,1,15,11939,f
257,2910,Buff,,10,1,15,10151,f
258,2910,Buff,,10,1,15,11967,f
259,2910,Buff,,10,1,15,14774,f
260,2910,Buff,,10,1,15,11512,f
261,2910,Buff,,10,1,15,10664,f
262,2910,Buff,,0,1,20,10752,f
263,2910,Buff,,0,1,20,10667,f
264,2910,Buff,,0,1,20,10670,f
265,2910,Buff,,0,1,20,11939,f
266,2910,Buff,,0,1,20,10151,f
267,2910,Buff,,0,1,20,11967,f
268,2910,Buff,,0,1,20,14774,f
269,2910,Buff,,0,1,20,11512,f
270,2910,Buff,,0,1,20,10664,f
275,542,Buff,484,1,0,-9000,,f
276,745,Buff,,4,0,-10000,10534,t
277,854,Buff,,4,0,-10000,10534,t
278,855,Buff,,4,0,-10000,10534,t
279,856,Buff,,4,0,-10000,10534,t
280,857,Buff,,4,0,-10000,10534,t
281,2983,Buff,482,1,1,20,,f
282,2626,Buff,482,1,1,10,,f
283,2893,Buff,482,1,1,20,,f
284,127,Buff,,1,0,-600,10534,t
285,127,Buff,,1,0,-2100,10720,t
286,127,Buff,,1,0,-900,16783,t
287,127,Buff,,1,0,-1200,14929,t
288,480,Buff,,1,0,-6000,15073,f
290,3172,Buff,,12,1,15,10534,f
292,3172,Buff,,12,1,15,10720,f
294,3172,Buff,,12,1,15,14929,f
295,3172,Buff,,12,1,15,14930,f
296,3172,Buff,,12,1,15,14931,f
297,3172,Buff,,12,1,15,14932,f
298,3172,Buff,,12,1,15,14933,f
299,1668,Buff,482,1,1,10,,f
300,1668,Buff,482,4,1,10,,f
301,2626,Buff,482,4,1,10,,f
302,2983,Buff,482,4,1,20,,f
304,3545,Buff,482,1,1,30,,f
305,3545,Buff,482,4,1,30,,f
306,3545,Buff,482,10,1,30,,f
307,3595,Buff,378,1,1,-100,,f
308,3595,Buff,378,4,1,-80,,f
309,3595,Buff,378,0,1,-50,,f
310,486,Buff,,10,1,15,16064,f
311,3763,Buff,482,1,1,30,,f
312,3763,Buff,482,4,1,30,,f
313,3763,Buff,482,10,1,30,,f
314,2727,Buff,,4,0,-10000,10644,f
315,127,Buff,,10,1,47,18222,t
316,4126,Buff,,10,1,10,10752,f
317,4126,Buff,,12,1,10,10534,f
318,4154,Buff,176,0,1,-5,,f
319,4154,Buff,177,0,1,-5,,f
320,4155,Buff,733,0,1,-5,,f
322,4252,Buff,484,1,0,-9000,,f
324,1043,Buff,,1,1,-30,,f
325,4562,Buff,,1,1,-30,,f
326,4586,Buff,,1,1,-30,,f
331,4677,Buff,885,10,1,3,,f
332,715,Buff,109,2,0,2,,f
333,715,Buff,110,2,0,2,,f
334,716,Buff,109,2,0,3,,f
335,716,Buff,110,2,0,3,,f
336,4997,Buff,,4,1,-95,14574,f
337,4997,Buff,,4,1,-95,14575,f
338,4997,Buff,,4,1,-95,14641,f
339,4997,Buff,,4,1,-95,14642,f
341,4997,Buff,,4,1,-90,11823,f
342,4997,Buff,,4,1,-90,14737,f
343,4997,Buff,,4,1,-90,14738,f
344,4997,Buff,,4,1,-90,14740,f
347,5200,Buff,,4,1,-20,13802,f
348,5200,Buff,,4,1,-20,16771,f
349,5200,Buff,,4,1,-20,20606,f
355,5201,Buff,,4,1,-20,13980,f
356,5201,Buff,,4,1,-20,13981,f
357,5201,Buff,,4,1,-20,13982,f
358,5201,Buff,,4,1,-20,13983,f
