id,skill_id,item_id,amount
117,11127,3887,1
118,11127,3886,1
119,11131,3887,1
120,11131,3885,1
121,11132,3886,1
122,11132,3885,1
129,11271,4173,1
170,11438,5152,1
203,11614,5280,8
213,11646,8136,1
306,12384,14683,2
374,12458,14753,1
375,12458,14776,1
376,12458,14765,1
390,12494,14802,1
412,12598,14915,1
413,12598,14914,1
414,12598,14913,1
439,12726,14837,1
440,12725,14836,1
474,11611,5110,1
477,12741,15358,1
478,12742,15359,1
479,12744,15361,1
504,12805,15573,1
581,12949,3932,3
583,12951,7786,9
586,12952,7840,4
587,12953,7922,2
588,12954,7952,4
589,12955,7999,4
590,12956,8071,2
591,12957,8248,15
592,12958,8253,3
593,12959,8267,5
594,12960,8272,15
595,12961,8277,3
596,12962,8285,5
597,12963,8299,15
598,12964,8304,3
599,12965,8309,5
600,12966,8314,15
601,12967,8399,2
602,12968,8404,2
603,12969,8412,2
604,12970,15304,2
607,12971,15323,7
608,12972,15335,6
609,12973,15344,6
610,12974,15386,4
611,12975,15419,7
612,12976,15436,6
613,12977,15447,4
614,12978,15458,3
615,12979,15508,4
616,12980,15530,4
618,12984,7752,9
619,12986,7774,7
620,12987,7804,8
621,12988,7909,7
622,12989,7941,2
623,12990,7987,3
624,12991,8069,2
625,12992,8074,15
626,12993,8251,15
627,12994,3451,6
628,12996,8265,3
629,12995,3940,8
630,12997,8270,5
631,12998,7771,6
632,12999,8275,15
633,13000,8283,3
634,13001,7802,3
635,13002,8288,5
636,13003,7897,3
637,13004,8302,15
638,13005,8307,3
639,13006,7940,7
640,13007,8312,5
641,13008,8394,2
642,13009,7976,8
643,13010,8402,2
644,13011,8410,2
645,13012,8068,2
646,13013,8415,2
647,13014,8073,2
648,13015,15318,7
649,13017,15332,6
650,13016,8250,3
651,13019,8264,5
652,13018,15341,7
653,13020,15375,4
654,13021,8269,15
655,13022,15415,7
656,13024,15424,7
657,13023,8274,3
658,13025,15442,4
659,13027,15453,4
660,13026,8282,5
661,13029,15488,3
662,13028,8287,15
663,13030,15514,4
664,13032,2191,6
665,13031,8301,3
666,13034,3939,2
667,13035,7770,7
668,13036,7801,7
669,13037,7896,3
670,13033,8306,5
671,13038,8311,15
672,13039,7933,2
673,13040,7963,2
674,13041,8316,3
675,13042,8011,4
676,13044,8072,2
677,13043,8401,2
678,13045,8249,5
679,13046,8406,2
680,13047,8263,15
681,13048,8414,2
682,13049,8268,3
683,13050,8273,5
684,13052,8281,15
685,13051,15315,7
686,13053,15331,7
687,13054,8286,3
688,13055,8300,5
689,13056,8305,15
690,13058,8310,3
691,13057,15338,3
692,13059,8315,5
693,13061,15368,3
694,13060,8315,5
695,13063,8400,2
696,13062,15392,3
697,13064,8405,2
698,13066,8413,2
699,13068,15314,6
700,13065,15441,3
701,13069,15324,7
702,13070,15337,7
703,13071,15367,3
704,13067,15421,6
705,13072,15452,3
706,13073,15467,3
707,13074,15387,3
708,13075,15513,3
710,13077,15437,3
711,13078,15449,3
712,13079,15464,4
713,13080,15512,4
714,13081,15531,4
724,13091,15292,6
726,13093,8070,2
727,13094,8075,2
728,13095,8252,5
729,13096,8266,15
730,13097,8271,3
731,13092,15320,7
732,13098,8276,5
733,13099,8284,15
734,13100,15334,7
735,13101,8289,3
736,13102,15343,2
737,13103,8303,5
738,13104,15378,3
739,13106,8308,15
740,13105,15418,3
741,13107,8313,3
742,13108,15435,6
743,13109,15445,3
744,13110,8395,2
745,13111,15454,3
746,13112,15490,3
747,13113,8403,2
748,13114,15526,3
758,11954,14074,1
768,12690,15057,1
769,12512,14835,1
772,12808,14831,1
774,12811,14833,1
775,12701,14916,1
777,12810,14832,1
778,12809,14830,1
787,11229,3900,1
805,12478,14796,1
809,11215,4053,1
818,12394,14689,1
820,12396,14688,1
821,12395,14687,1
822,12393,14690,1
843,13158,8017,1
856,13165,15699,1
857,12840,15589,1
858,13185,15589,1
860,13186,15694,1
861,13187,15702,1
877,13076,15420,3
901,13308,15812,1
915,13376,15830,1
923,13383,15858,1
926,13191,15710,1
948,13449,15893,1
958,13455,15694,1
975,13522,15958,3
984,11370,4968,1
989,13614,4977,1
1005,13252,15776,1
1006,13252,15775,1
1007,13252,15774,1
1008,13252,15773,1
1010,13631,15977,1
1011,13627,16017,3
1012,13645,16021,1
1016,12193,14528,1
1017,12193,14527,1
1018,12193,14317,1
1024,13377,15830,1
1026,11474,15800,1
1036,13659,16031,1
1037,13659,16032,1
1038,13659,16033,1
1045,13341,16012,1
1047,13669,16011,1
1048,13673,16050,2
1049,13672,16052,1
1050,13691,16105,1
1051,13691,16054,3
1052,13707,15893,1
1055,13709,16005,1
1056,13709,16006,1
1057,13709,16007,1
1058,13709,16008,1
1059,13709,16009,1
1060,13709,16010,1
1064,13720,16155,5
1065,13523,15959,1
1067,13300,15792,1
1068,13162,15694,1
1073,13714,16146,1
1076,13398,15866,5
1077,13446,15890,1
1079,13648,8017,4500
1080,13648,8008,4500
1092,13169,15589,1
1104,12155,14074,1
1106,13797,16172,5
1107,13375,15851,1
1128,13873,16247,2
1135,13899,16296,1
1160,12727,13974,1
1171,14067,8017,900
1172,14067,8008,900
1173,13140,8008,225
1174,13140,8017,225
1175,13650,8008,2250
1176,13650,8017,2250
1186,13822,16235,1
1189,14208,17247,1
1190,14208,5028,3
1191,13316,15792,2
1223,12728,16257,1
1229,11044,1538,1
1230,11044,14682,2
1243,14519,17678,1
1244,14519,17677,1
1245,14519,17676,1
1263,14545,17699,1
1264,14545,17701,1
1265,14545,17700,1
1266,14558,3719,1
1267,14557,17704,1
1299,14661,17810,1
1302,13365,16256,1
1349,12411,14711,1
1350,12411,14713,1
1385,11492,5137,1
1386,12431,14746,1
1387,12432,14747,1
1402,14711,17826,1
1403,14711,17827,1
1416,11507,5189,1
1417,11507,5251,1
1418,11507,5252,1
1435,14828,14864,5
1458,14886,18144,1
1467,10654,1386,10
1469,11690,8136,1
1484,14019,14836,1
1486,14919,18159,1
1488,12429,14743,1
1489,12429,14742,1
1490,12429,14741,1
1494,14846,18057,1
1497,14636,17800,1
1500,11551,4967,1
1513,13711,8337,2
1514,13429,8337,2
1515,14913,8337,1
1521,12457,14777,1
1522,12457,14778,1
1523,12457,14779,1
1558,13088,16347,5
1559,13089,16348,5
1560,13090,16349,5
1561,13082,16350,5
1562,13083,16351,5
1563,13084,16352,5
1564,13085,16353,5
1565,13086,16354,5
1566,13087,16355,5
1570,12706,15284,1
1572,15093,18475,1
1590,15183,18631,1
1597,15112,18482,1
1601,15196,18635,1
1602,15197,18636,1
1603,15198,18637,1
1615,15250,17413,1
1616,13453,15901,1
1617,13458,15907,1
1618,13459,15908,1
1619,13454,15902,1
1620,15242,18661,1
1621,15242,18662,1
1622,15243,18663,1
1634,15301,18492,1
1639,15313,18704,1
1644,15325,18727,1
1650,14758,17825,1
1651,14758,17827,1
1652,14759,17825,1
1653,14759,17826,1
1660,15335,18488,1
1666,15140,18492,1
1667,15151,18492,1
1675,15416,18789,1
1677,15392,18785,1
1679,13663,15694,1
1684,13655,16005,1
1687,15269,18676,1
1690,15482,19078,1
1692,15342,19035,1
1708,15417,18790,1
1709,15280,17346,1
1710,15280,17341,5
1711,15584,5221,1
1720,15500,19382,1
1721,15599,18727,1
1725,15610,19382,1
1727,15434,8515,3
1734,11235,3873,5
1735,11242,3851,5
1743,15328,18739,1
1744,15328,18740,1
1745,15328,18741,1
1746,15594,19515,1
1747,15593,19514,1
1748,11681,8177,1
1749,15728,19573,1
1750,15728,19574,1
1763,15773,8017,1
1764,15773,8022,1
1779,16100,19793,1
1781,16134,19809,1
1783,16150,19834,1
1785,16264,19856,1
1786,16264,19855,1
1787,16264,19854,1
1788,16264,19853,1
1800,16361,19872,1
1812,16431,19973,1
1814,13607,15987,1
1815,16132,19638,1
1817,16355,19876,3
1820,16207,19801,3
1825,15897,19968,1
1826,15897,19967,1
1827,15897,19966,1
1828,15897,19965,1
1829,16449,19999,1
1831,16188,16041,1
1837,16079,19859,1
1838,16208,19801,3
1839,16209,19801,3
1843,16354,19678,1
1846,16647,20003,1
1847,16831,20153,1
1848,16832,20154,1
1849,16830,20155,1
1850,16849,20169,1
1851,16850,20168,1
1852,16851,20167,1
1855,16959,21198,1
1856,16960,21199,1
1857,16961,21200,1
1858,16962,21201,1
1859,16963,21202,1
1860,16964,21206,1
1861,16964,21207,1
1862,16964,21208,1
1863,16964,21209,1
1864,16964,21210,1
1865,16098,19708,1
1867,16985,24777,1
1868,16985,21257,1
1869,16989,16048,1
1870,16989,19693,1
1871,17003,20171,5
1872,17004,20171,5
1873,17005,21280,3
1874,17006,19620,1
1875,17012,21286,1
1877,17012,21288,1
1878,17012,21289,1
1880,17016,21295,1
1881,17016,21294,1
1882,17013,21292,1
1883,17022,21296,1
1884,17028,17951,1
1887,17028,17949,1
1888,17028,17948,1
1889,17028,17947,1
1890,17066,21339,1
1891,17066,21337,1
1892,17028,17950,1
1893,17080,21346,1
1894,17190,21261,1
1895,17190,21262,1
1896,17190,21263,1
1897,17218,21560,1
1899,17312,14937,10
1901,17347,21850,1
1902,17371,23115,1
1904,17459,23422,1
1905,17459,23423,1
1906,17459,23424,1
1907,17566,16399,5
1908,17566,14178,1
1909,17568,23624,1
