id,skill_req_id,skill_tag_id
1,1,296
2,25,331
3,25,157
4,25,356
5,25,357
6,25,358
7,25,9
8,25,33
9,25,144
10,25,217
11,25,30
12,33,1
13,34,331
14,34,157
15,34,356
16,34,357
17,34,358
18,34,9
19,34,33
20,34,144
21,34,217
22,34,30
23,35,368
24,25,296
25,34,296
26,25,375
27,34,375
28,33,379
29,25,402
30,41,296
31,42,331
32,42,157
33,42,356
34,42,357
35,42,358
36,42,9
37,42,33
38,42,144
39,42,217
40,42,30
41,42,296
42,42,375
43,42,402
44,43,30
45,43,33
46,43,144
47,43,217
48,50,358
49,34,611
52,13,631
53,34,402
54,74,358
56,92,696
57,93,296
58,95,878
60,100,30
61,100,33
62,100,144
63,100,217
64,105,358
65,115,331
66,115,157
67,115,356
68,115,358
69,115,9
70,115,33
71,115,144
72,115,217
73,115,30
74,115,296
75,115,375
76,115,402
77,115,934
79,115,357
80,132,378
81,13,368
82,140,1024
85,140,1029
86,95,1038
104,145,1058
105,154,1111
106,164,1201
107,34,834
108,173,1217
110,173,296
111,181,1258
112,183,378
114,192,331
115,192,157
116,192,356
117,192,358
118,192,357
119,192,9
120,192,33
121,192,144
122,192,217
123,192,30
124,192,296
125,192,375
126,192,402
127,193,331
128,193,157
129,193,356
130,193,357
131,193,358
132,193,9
133,193,33
134,193,375
135,193,402
136,193,296
137,193,30
138,193,217
139,193,144
140,193,33
145,199,1318
146,200,640
147,95,1214
148,203,1
