id,target,buff_id,buff_tag_id,message,default_result
1,f,,27,발묶임 상태에서는 해당 기술 또는 아이템을 사용할 수 없습니다.,t
2,f,,132,지금은 할 수 없습니다.,t
3,f,,167,지금은 할 수 없습니다.,t
4,f,,201,지금은 할 수 없습니다.,t
5,f,,1,지금은 할 수 없습니다.,t
6,f,1457,,%s 상태가 아니어야 합니다.,t
7,f,,250,지금은 할 수 없습니다.,t
8,f,,146,지금은 할 수 없습니다.,t
9,f,,147,지금은 할 수 없습니다.,t
11,f,,243,지금은 할 수 없습니다.,t
12,f,,287,지금은 할 수 없습니다.,t
13,f,,306,등짐을 멘 상태에서는 사용 할 수 없습니다.,t
14,f,,208,지금은 할 수 없습니다.,t
15,f,,294,날틀 비행중에는 해당 기술을 사용할 수 없습니다,f
16,f,,315,거친 번개가 봉인됨,t
17,f,,316,바람의 장벽이 봉인됨,t
18,f,,317,전하응집이 봉인됨,t
19,f,,318,잿빛안개전사는 강화되지 않았음,f
20,t,,239,거부하는 바이암에게는 사용할 수 없습니다.,t
21,t,1729,,화가 난 야생말에게는 사용할 수 없습니다.,t
22,t,,284,화가 난 대상에게는 사용할 수 없습니다.,t
23,f,,257,야차의 석화,t
25,f,2149,,누이 여신 주변은 평화 지역 입니다. ,f
26,t,,388,대상이 방울방울 면역 상태입니다.,t
27,t,2161,,대상이 염력 면역 상태입니다.,t
30,t,,361,대상에게 해당 기술을 사용할 수 없습니다,t
31,t,,240,거대 몬스터에게는 해당 기술을 사용할 수 없습니다.,t
33,t,2220,,사용할 수 없습니다.,t
34,f,2221,,선포 영역 주변은 평화 지역입니다.,f
35,f,,367,등짐을 지고 있는 상태에서는 불가능합니다.,t
36,f,2247,,전쟁 기록관은 취재만 가능합니다.,f
37,t,,371,소환수가 부상으로 쓰러져 있을 때는 해당 기술을 사용할 수 없습니다.,f
38,f,,341,기다림의 기운 상태에서는 사용할 수 없습니다.,t
39,t,,354,대상이 수면에 면역 상태입니다.,t
40,t,,389,대상이 공포에 면역 상태입니다.,t
41,f,181,,떠오르기 상태에서는 날틀을 사용할 수 없습니다.,t
42,f,2514,,결혼식 도중에는 사용할 수 없습니다.,f
43,f,,411,강한 충격으로 인해 물약을 먹기가 힘듭니다.,t
44,t,,416,눈치챈 고대 신앙 사제에게는  사용할 수 없습니다.,t
45,t,,414,보호 상태에서는 사용할 수 없습니다.,t
46,f,,419,독액폭발,f
47,f,2669,,얼굴 없는 투사의 증오의 불꽃,t
48,t,2440,,죽어가는 얼룩말에게는 사용할 수 없습니다.,t
49,t,,465,더욱 더 화가난 코끼리에게는 사용할 수 없습니다.,t
50,f,742,,침입자 신분일 때는 탈 것을 소환할 수 없습니다.,t
51,t,,543,연습 중인 오스카 극단 배우에겐 사용할 수 없습니다.,t
52,t,,544,거부하는 대상에게는 사용할 수 없습니다.,t
55,f,,342,위압감 상태에서 당신이 할 수 있는 것은 오직 달리기뿐...,f
56,t,,485,대상이 넘어짐 면역 상태입니다.,t
57,f,,630,죽은 척 중에 그런 행동을 하면...들키겠죠?,f
58,f,,346,방울방울 상태에서 기술을 사용할 수 없습니다.,f
59,f,,12,공포 상태에서는 기술을 사용할 수 없습니다,f
60,f,615,,닻이 내려져 있어 이동 할 수 없습니다.,t
61,f,,660,지금은 사용할 수 없습니다.,f
62,t,1034,,이미 약화되어 있습니다.,t
63,t,547,,대상이 이미 강력한 수면에 걸려 있습니다.,t
66,t,3558,,사납게 변한 백단향 라플레시아에게는 사용할 수 없습니다.,t
67,t,,494,이미 진실의 빛을 사용한 대상입니다.,t
68,f,,348,폭주 상태에서는 마상 수비 기술을 사용할 수 없습니다.,t
69,t,2984,,이미 진실의 빛을 사용한 대상입니다.,t
70,t,,680,알아챈 붉은 구월단에게는 더 이상 사용할 수 없습니다.,t
71,t,,681,이미 중독된 오우거에게는 사용할 수 없습니다.,t
72,t,1446,,대상이 이미 공포에 빠진 상태입니다.,t
73,t,1377,,대상이 이미 정화의 샘물 영향을 받은 상태입니다.,t
74,f,3809,,이곳에서는 말을 소환할 수 없습니다.,t
75,t,629,,이미 타오르는 심장의 힘을 느낀 영혼입니다.,t
76,t,2383,,대상이 음식을 먹은 상태입니다.,t
77,t,1648,,이미 지팡이의 효과가 걸려 있습니다.,t
78,t,,566,이미 결투를 시작한 대상에게는 결투를 신청할 수 없습니다.,t
79,t,,171,이미 정화되고 있습니다.,t
87,t,,762,이미 재심 청구서에 대한 의견을 표명했습니다.,t
88,t,,575,대상이 다른 사람을 상대하고 있습니다.,t
89,f,3183,,놀아주기 바빠서 다른 것을 할 수 없습니다.,f
90,t,,812,대상이 다른 사람을 상대하고 있습니다.,t
91,f,4482,,아기를 씻겨주는 중에는 다른 행동을 할 수 없습니다.,f
92,f,,865,돌파나 질주중에는 연주할 수 없습니다.,t
93,f,,870,날틀 해제 이후 잠시 동안 재사용이 불가능 합니다.,t
95,f,,878,현재 상태에선 기술을 사용 할 수 없습니다.,f
98,t,4651,,폭주하는 정령에게는 사용할 수 없습니다.,t
99,t,2302,,대상이 이미 의식을 진행하고 있습니다.,t
100,f,4676,,유혹을 당해 물약을 사용할 수 없습니다.,t
101,t,,887,사용할 수 없는 기술입니다.,t
102,t,4704,,어설픈 농부가 일에 집중 중일 때는 신원 조사용 거울을 사용할 수 없습니다.,t
103,t,4694,,상대가 수면 중에는 수면 침을 사용할 수 없습니다.,t
