id,skill_id,desc,condition_buffkind,condition_icon_id,result_buffkind,result_icon_id,unit_selection_id,buff_tag_id,web_desc
1,11918,[느려짐] 적대상에게 26% 피해 추가,f,1784,t,0,2,,
2,10385,[넘어진] 적대상을 공격시 근접 치명타 확률 21% 증가,f,1781,t,0,2,,
3,11854,[위축된] 적대상에게 10% 피해 추가,f,1809,t,0,2,,
4,11854,[발묶인] 적대상을 [넘어트림],f,1830,f,1781,2,,
5,10644,[넘어진] 적대상에게 47% 피해 추가,f,1781,t,0,2,,
6,12026,[출혈] 적대상에게 37% 피해 추가,f,1842,t,0,2,,
7,10455,자신이 [죽은자의 주문] 효과 시 기진맥진 안됨,t,1824,t,0,2,,
8,13315,[위축된] 적대상에게 13% 피해 추가,f,1809,t,0,2,451,
9,13282,[느려짐] 적대상을 [넘어트림],f,1784,f,1781,2,161,
10,13282,[정신 파괴] 적대상은 [넘어짐] 지속 시간이 30% 증가,f,1801,t,0,2,,
13,10159,[공포] 적대상에게 55% 피해 추가,f,1793,t,0,2,,
14,10159,[기절한] 적대상에게 #{buff_total_min_mana_burn}~#{buff_total_max_mana_burn} 생명력 지속 피해,f,1790,t,0,2,,[기절한] 적대상에게 [피해량] 생명력 지속 피해
15,10154,[감전된] 적대상에게 #{min_damage}~#{max_damage} 마법 피해 추가,f,1834,t,0,2,,[감전된] 적대상에게 [피해량] 마법 피해 추가
16,10154,[불 붙은] 적대상은 더 높이 [띄워짐],f,1836,t,0,2,,
17,10409,[불 붙은] 적대상은 [공포] 지속 시간 1.5초 증가,f,1836,t,0,2,,
18,10712,[물리 기술 봉쇄] 상태 적대상은 #{buff_duration} 동안 [침묵됨],f,1812,f,1796,2,,[물리 기술 봉쇄] 상태 적대상은 [유지 시간] 동안 [침묵됨]
19,10134,[얼음화] 적대상은 [수면] 지속 시간 10초 증가,f,1839,t,0,2,,
20,12001,[불 붙은] 적대상은 [공포] 지속 시간 2초 증가,f,1836,t,0,2,,
21,11443,[감전된] 적대상에게 46% 피해 추가,f,1834,t,0,2,,
22,10399,자신이 [활력 방패] 효과 시 적대상에게 61% 피해 추가 ,t,1817,t,0,2,,
23,10399,[발묶인] 적대상에게 31% 피해 추가 ,f,1830,t,0,2,,
24,10399,[정신 파괴] 적대상은 기절 지속 시간이 30% 증가,f,1801,t,0,2,373,
25,10645,자신이 [곰의 맷집] 효과 시 20% 효과 증가,t,6907,t,0,2,,
26,10501,[기절한] 적대상을 [넘어트림],f,1790,f,1781,2,,
27,10501,[기절한] 적대상에게 42% 피해 추가 ,f,1790,t,0,2,,
28,10501,자신이 [활력 방패] 효과 시 적대상에게 68% 피해 추가 ,t,1817,t,0,2,,
29,12046,자신이 [강인한 의지] 효과 시 50% 효과 증가 ,t,1813,t,0,2,,
30,11365,자신이 [곰의 맷집] 효과 시 초당 회복량 33% 증가,t,6907,t,0,2,,
31,12048,자신이 [강인한 의지] 효과 시 적대상에게 60% 피해 추가 ,t,1813,t,0,2,,
33,10375,자신이 [전투 불능 방어] 효과 시 [마법 방어] 효과 추가,t,1816,t,6912,2,,
34,11576,[정신 파괴] 적대상은 [넘어짐] 지속 시간이 30% 증가,f,1801,t,0,2,,
35,10436,자신이 [강인한 의지] 효과 시 위협 수치가 2배 증가됨,t,1813,t,0,2,,
36,10436,[도발된] 적대상에게 최고 위협 수치 획득,f,1806,f,6906,2,,
37,11597,"자신의 [의기 충전] 효과 1회 당 47% 피해 추가, 이후 의기 소멸",t,1818,t,0,2,,
39,10710,"자신의 [의기 충전] 효과 1회 당 52% 피해 추가, 이후 의기 소멸",t,1818,t,0,2,,
40,11380,자신이 [밀착 방어] 효과 시 [마법 방어] 효과 추가,t,1807,t,6912,2,,
41,10104,[느려짐] 적대상에게 일정 확률로 이로운 효과 1개를 추가로 빼앗아옴,f,1784,t,0,2,,
42,14810,[공포] 적대상에게 [강력한 위축] 발생,f,1793,f,6908,2,,
43,10201,[출혈] 적대상에게 30% 피해 추가 ,f,1842,t,0,2,36,
44,10201,[강력한 위축] 적대상을 기절시킴,f,6908,f,1790,2,483,
45,10135,[창에 꽂힌] 적대상에게 48% 피해 추가,f,6910,t,0,2,,
46,11441,[기절한] 적대상에게 46% 피해 추가 ,f,1790,t,0,2,6,
47,11441,[강력한 위축] 적대상에게 50% 피해 흡수 추가,f,6908,t,0,2,483,
48,11395,[창에 꽂힌] 적대상에게 독 효과,f,6910,f,1827,2,,
49,12759,[공포] 적대상에게 101% 피해 추가,f,1793,t,0,2,12,
50,13564,[출혈] 적대상에게 상위 출혈 효과,f,1842,f,1842,2,,
51,13564,[독걸린] 적대상에게 27% 지속 피해 추가,f,1827,t,0,2,14,
52,13564,[느려짐] 적대상을 더 느려지게 함 ,f,1784,f,1784,2,,
53,16210,[기절한] 적대상에게 23% 피해 추가,f,1790,t,0,2,,
