id,owner_id,owner_type,level,fx_group_id,projectile_id
1,10752,Skill,1,4,2
3,10752,Skill,7,746,142
4,10752,Skill,12,747,143
8,10385,Skill,1,197,
9,10385,Skill,7,1109,
10,10385,Skill,14,1110,
11,12026,Skill,1,555,
12,12026,Skill,2,1117,
13,12026,Skill,4,1118,
14,10159,Skill,1,210,119
15,10159,Skill,6,1123,119
16,10159,Skill,11,1124,119
17,10375,Skill,1,414,
18,10375,Skill,2,1127,
19,10375,Skill,3,1128,
20,10710,Skill,1,272,100
21,10710,Skill,8,1132,100
22,10710,Skill,16,1133,
23,16210,Skill,1,433,29
24,16210,Skill,6,433,294
25,16210,Skill,12,433,295
26,11973,Skill,1,529,80
27,11973,Skill,7,1171,80
28,11973,Skill,13,1172,80
29,11943,Skill,1,536,84
30,11943,Skill,6,536,306
31,11943,Skill,10,536,307
32,10720,Skill,1,266,
33,10720,Skill,3,1175,
34,10720,Skill,5,1176,
