id,name,command_id,command_type,skill_id
1,s,1,ChatCommand,0
2,p,2,ChatCommand,0
3,ra,3,ChatCommand,0
4,ex,4,ChatCommand,0
5,w,5,ChatCommand,0
6,u,15,ChatCommand,
7,1,7,ChatCommand,0
8,trade,8,ChatCommand,0
9,3,9,ChatCommand,0
10,whisper,5,ChatCommand,0
11,귓속말,5,ChatCommand,0
12,ㅈ,5,ChatCommand,0
13,파티,2,ChatCommand,0
14,ㅔ,2,ChatCommand,0
15,일반,1,ChatCommand,0
16,ㄴ,1,ChatCommand,0
17,공격대,3,ChatCommand,0
18,ㅇ,15,ChatCommand,
19,외치기,7,ChatCommand,0
20,외침,7,ChatCommand,0
21,외,7,ChatCommand,0
22,ㅛ,7,ChatCommand,0
23,원정대,4,ChatCommand,0
24,ㅎ,4,ChatCommand,0
25,party,2,ChatCommand,0
26,say,1,ChatCommand,0
27,raid,3,ChatCommand,0
28,expedition,4,ChatCommand,0
29,yell,7,ChatCommand,0
30,shout,7,ChatCommand,0
31,국가,6,ChatCommand,
32,국,6,ChatCommand,
33,굴림,7,SlashFunction,0
34,연합,15,ChatCommand,
35,팩션,15,ChatCommand,
36,팩,15,ChatCommand,
37,세력,15,ChatCommand,
38,세,15,ChatCommand,
39,e,15,ChatCommand,
40,unite,15,ChatCommand,
41,nation,6,ChatCommand,
42,n,6,ChatCommand,
43,faction,15,ChatCommand,
44,influence,15,ChatCommand,
45,f,15,ChatCommand,
46,invite,1,SlashFunction,0
47,초대,1,SlashFunction,0
48,leave,2,SlashFunction,0
49,탈퇴,2,SlashFunction,0
50,kick,3,SlashFunction,0
51,추방,3,SlashFunction,0
52,create_channel,4,SlashFunction,0
53,채널생성,4,SlashFunction,0
54,enter_channel,5,SlashFunction,0
55,채널입장,5,SlashFunction,0
56,leave_channel,6,SlashFunction,0
57,채널퇴장,6,SlashFunction,0
58,dice,7,SlashFunction,0
59,주사위,7,SlashFunction,0
60,일지,9,SlashFunction,
61,하이요,12,ExpressText,14451
64,invite_expedition,12,SlashFunction,0
65,leave_expedition,13,SlashFunction,0
67,대화,37,ExpressText,0
68,말,38,ExpressText,0
69,happy,2,ExpressText,14452
70,purr,2,ExpressText,14452
71,victory,17,ExpressText,14467
72,yay,2,ExpressText,14452
73,행복,2,ExpressText,14452
74,만족,2,ExpressText,14452
75,승리,17,ExpressText,14467
76,영광,2,ExpressText,14452
77,앗싸,2,ExpressText,14452
78,기쁨,2,ExpressText,14452
79,cry,3,ExpressText,14453
80,sad,3,ExpressText,14453
81,sob,3,ExpressText,14453
82,weep,3,ExpressText,14453
83,슬픔,3,ExpressText,14453
84,울다,3,ExpressText,14453
85,엉엉,3,ExpressText,14453
86,ㅠㅠ,3,ExpressText,14453
87,ㅜㅜ,3,ExpressText,14453
88,울음,3,ExpressText,14453
89,흑흑,3,ExpressText,14453
90,울기,3,ExpressText,14453
91,amaze,4,ExpressText,14454
92,panic,4,ExpressText,14454
93,surprised,4,ExpressText,14454
94,놀라기,4,ExpressText,14454
95,놀람,4,ExpressText,14454
96,깜짝,4,ExpressText,14454
97,화들짝,4,ExpressText,14454
98,허둥,4,ExpressText,14454
99,lonely,5,ExpressText,14455
100,miss,5,ExpressText,14455
101,whine,5,ExpressText,14455
102,쓸쓸,5,ExpressText,14455
103,외로움,5,ExpressText,14455
104,외롭다,5,ExpressText,14455
105,아쉬워,5,ExpressText,14455
106,푸념,5,ExpressText,14455
107,휴우,25,ExpressText,14476
108,bored,6,ExpressText,14456
109,pick,6,ExpressText,14456
110,지루함,6,ExpressText,14456
111,따분,6,ExpressText,14456
112,심심,6,ExpressText,14456
113,bow,1,ExpressText,14462
114,thank,1,ExpressText,14462
115,thanks,1,ExpressText,14462
116,thx,1,ExpressText,14462
117,감사,1,ExpressText,14462
118,고마워,1,ExpressText,14462
119,인사,12,ExpressText,14451
120,question,7,ExpressText,14457
121,confuse,7,ExpressText,14457
122,deny,31,ExpressText,14483
123,puzzled,7,ExpressText,14457
124,what,7,ExpressText,14457
125,어리둥절,7,ExpressText,14457
126,어처구니,7,ExpressText,14457
127,아리송,7,ExpressText,14457
128,질문,7,ExpressText,14457
129,난감,7,ExpressText,14457
130,머쓱,7,ExpressText,14457
131,angry,8,ExpressText,14458
132,doom,8,ExpressText,14458
133,mad,8,ExpressText,14458
134,threat,8,ExpressText,14458
135,화남,8,ExpressText,14458
136,분노,8,ExpressText,14458
137,짜증,8,ExpressText,14458
138,버럭,8,ExpressText,14458
139,화내기,8,ExpressText,14458
140,beg,9,ExpressText,14459
141,apologize,94,ExpressText,14459
142,사과,94,ExpressText,14459
143,간청,9,ExpressText,14459
144,안돼,39,ExpressText,0
145,부탁,9,ExpressText,14459
146,clap,10,ExpressText,14460
147,applaud,10,ExpressText,14460
148,applause,10,ExpressText,14460
149,congratulate,10,ExpressText,14460
150,praise,10,ExpressText,14460
151,박수,10,ExpressText,14460
152,갈채,10,ExpressText,14460
153,축하,10,ExpressText,14460
154,찬사,10,ExpressText,14460
155,긍정,33,ExpressText,14485
156,짝짝,10,ExpressText,14460
157,손뼉,10,ExpressText,14460
158,greet,12,ExpressText,14451
159,greeting,12,ExpressText,14451
160,salute,11,ExpressText,14461
161,경례,11,ExpressText,14461
162,경의,11,ExpressText,14461
163,환영,12,ExpressText,14451
164,충성,11,ExpressText,14461
165,bye,12,ExpressText,14451
166,farewell,12,ExpressText,14451
167,goodbye,12,ExpressText,14451
168,hello,12,ExpressText,14451
169,hi,12,ExpressText,14451
