id,owner_id,owner_type,doodad_id,count,radius,on_water
5,21,Slave,1327,1,11.0,f
10,22,Slave,1327,1,11.0,f
11,23,Slave,1330,16,21.0,t
12,23,Slave,1322,1,16.0,t
13,23,Slave,1323,1,11.0,t
14,23,Slave,1326,1,16.0,t
15,23,Slave,1327,1,16.0,f
24,24,Slave,1327,1,11.0,f
25,61,Slave,1327,1,11.0,f
26,75,Slave,1327,1,11.0,f
27,21,Slave,1322,1,22.0,t
28,21,Slave,1323,1,27.0,t
29,21,Slave,1324,1,27.0,t
30,21,Slave,1330,12,30.0,t
31,22,Slave,1322,1,22.0,t
32,22,Slave,1323,1,27.0,t
33,22,Slave,1326,1,27.0,t
35,22,Slave,1330,16,30.0,t
36,24,Slave,1322,1,22.0,t
37,24,Slave,1323,1,27.0,t
38,24,Slave,1329,1,27.0,t
39,24,Slave,1330,12,30.0,t
40,75,Slave,1322,1,22.0,t
41,75,Slave,1323,1,27.0,t
43,75,Slave,1330,12,30.0,t
44,14,Slave,1323,1,7.0,t
45,14,Slave,1330,3,10.0,t
46,76,Slave,1323,1,7.0,t
47,76,Slave,1330,3,10.0,t
48,15,Slave,1330,1,2.0,t
50,92,Slave,1322,1,22.0,t
51,92,Slave,5806,1,27.0,t
52,92,Slave,1327,1,11.0,f
53,92,Slave,1330,12,31.0,t
55,92,Slave,5807,1,27.0,t
57,102,Slave,6110,1,8.0,t
59,102,Slave,6108,1,8.0,t
60,103,Slave,1330,1,2.0,t
61,102,Slave,6109,1,8.0,t
63,110,Slave,1323,1,7.0,t
64,110,Slave,1330,5,11.0,t
65,113,Slave,1323,1,7.0,t
66,113,Slave,1330,5,11.0,t
67,114,Slave,1323,1,7.0,t
68,114,Slave,1330,5,11.0,t
