id,name,model_id,mountable,offset_x,offset_y,offset_z,obb_pos_x,obb_pos_y,obb_pos_z,obb_size_x,obb_size_y,obb_size_z,portal_spawn_fx_id,portal_scale,portal_time,portal_despawn_fx_id,hp25_doodad_count,hp50_doodad_count,hp75_doodad_count,spawn_x_offset,spawn_y_offset,faction_id,level,cost,slave_kind_id,spawn_valid_area_range,slave_initial_item_pack_id
1,공성 투척기,990,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,3.0,2.0,1264,0,0,0,5.0,5.0,143,50,50,7,50,
2,공성 투석기,2,t,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,1263,8.0,4.0,1264,0,0,0,5.0,5.0,143,50,50,7,50,
3,palintonos,3,f,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
4,ram,4,t,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,1263,3.0,7.0,1264,0,0,0,5.0,5.0,143,50,50,7,50,
5,공성 사다리차,5,t,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,1263,8.0,3.0,1264,0,0,0,5.0,5.0,143,50,50,7,50,
6,발리스타,6,f,0.0,1.0,0.0,0.0,0.0,2.0,0.1,0.1,0.5,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
7,carriage,106,t,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,1,50,
9,갤리온,115,t,0.0,10.0,0.0,0.0,4.0,12.0,3.0,16.0,12.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,1,50,
10,대포,117,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,143,50,50,8,50,
11,황의 소형 범선,511,t,0.0,10.0,0.0,0.0,4.0,12.0,3.0,16.0,12.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,1,50,
12,hook,121,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
13,황의날틀,127,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,1,50,
14,작살 쾌속정,128,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265,7.5,7.0,1266,1,1,0,25.0,15.0,143,50,50,3,50,
15,나룻배,129,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,1,0,1.5,1.5,143,50,50,4,50,
16,Cannon 2,6,f,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
17,가오리,130,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,1,50,
18,Machine gun,6,f,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
19,중간배 몸통,392,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,1,50,
21,이즈나 소형 범선,393,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,2,1,1,30.0,20.0,143,50,50,2,50,
22,탑의 도시 소형 범선(슬레이브 커마 테스트 용으로 용도 변경),511,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,2,1,1,30.0,20.0,143,50,50,2,50,1
23,오스테라 소형 범선(보류),512,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,2,1,1,5.0,5.0,143,50,50,1,50,
24,으르렁거리는 소형 범선,523,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,2,1,1,30.0,20.0,143,50,50,2,50,
25,지상용 대포,117,t,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
26,지스타 부서지는 배 1,536,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
27,지스타 부서지는 배 2,537,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
28,부서지는집01,541,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,1,50,
29,부서지는집02,546,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,1,50,
30,터렛,6,t,0.0,1.0,0.0,0.0,0.0,2.0,0.1,0.1,0.5,,2.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
31,전장 대포,117,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,143,50,50,7,50,
32,훈련용 허수아비(제거 예정 npc로 대체),764,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,1,50,
33,훈련용 허수아비(제거 예정 npc로 대체),765,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,1,50,
34,훈련용 허수아비(제거 예정 npc로 대체),766,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,1,50,
35,황의 탱크,835,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
36,황의 탱크2,857,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
37,황의 작살,895,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
38,슈운의 대포,117,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,7,50,
39,훈련용 발석차,1,t,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,1263,3.0,7.0,1264,0,0,0,5.0,5.0,143,50,50,7,50,
40,훈련용 대포,117,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
41,훈련용 투석기,2,t,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
42,훈련용 충차,4,t,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,1263,3.0,7.0,1264,0,0,0,5.0,5.0,143,50,50,7,50,
43,훈련용 발리스타,6,f,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.1,0.5,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
44,'정'의 뜰틀,866,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,1.0,4.0,568,0,0,0,5.0,5.0,,50,50,1,50,
45,황의 쾌속정,867,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,1,50,
46,고전 전차,892,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,3.0,1.0,1264,0,0,0,5.0,5.0,143,50,50,5,50,
48,작살포,895,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
49,망가진 대포,117,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,,50,50,7,50,
50,화염 전차,898,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,3.0,1.0,1264,0,0,0,5.0,5.0,143,50,50,5,50,
51,철갑 전차,899,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,3.0,1.0,1264,0,0,0,5.0,5.0,143,50,50,5,50,
52,쾌속정,128,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265,7.5,7.0,1266,1,1,0,5.0,5.0,143,50,50,3,50,
53,최정호 전차,892,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,3.0,2.0,1264,0,0,0,5.0,5.0,143,50,50,7,50,
54,전차,952,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,3.0,0.0,1264,0,0,0,5.0,5.0,143,50,50,7,50,
55,나룻배(난간 테스트 용),129,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,1,0,1.5,1.5,,50,50,1,50,
56,해적 대포,117,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,161,50,50,7,50,
57,피 묻은 손 전진기지 대포,117,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,30.0,,0,0,0,5.0,5.0,2,1,50,7,50,
58,탐사 로봇 발사 장치,1026,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,7,50,
59,테스트 슬레이브,1005,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,143,50,50,7,50,
60,농업용 달구지,1008,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,3.0,1.0,1264,0,0,0,5.0,5.0,143,50,50,6,50,
61,인터랙션_범선,1024,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,15.0,7.0,568,2,1,1,30.0,20.0,143,50,50,1,50,
62,기뢰 발사대,1026,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,7,50,
63,유람선,1046,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,0,0,0,30.0,20.0,143,50,50,1,50,
64,인간 대포,1051,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,143,50,50,7,50,
65,푸른 모래톱 휴양지행 인간대포,1051,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,7,50,
66,녹색 늑대 마을행 인간대포,1051,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,7,50,
67,황금 혀 항구행 인간대포,1051,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,7,50,
68,푸른 모래톱 휴양지행 인간대포,1051,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,7,50,
70,두더지 대포,117,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,143,50,50,7,50,
71,황금 혀 항구행 인간대포,1051,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,7,50,
72,인간대포 어셋 아니면 안걸리나 테스트,117,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,2,40,50,7,50,
73,목화밭 달구지,1008,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,3.0,1.0,1264,0,0,0,5.0,5.0,143,50,50,7,50,
75,무역선,1205,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,8.0,7.0,568,2,1,1,30.0,20.0,143,50,50,2,50,
76,모험의 쾌속정,128,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265,7.5,7.0,1266,1,1,0,25.0,15.0,143,50,50,3,50,
77,대포(견본),117,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,7,50,
78,이즈나 소형 범선(견본),393,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,2,1,1,30.0,20.0,1,50,50,2,50,
79,비파 소형 범선(견본),1249,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,2,1,1,30.0,20.0,1,50,50,2,50,
80,무역선(견본),1205,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,2,1,1,30.0,20.0,1,50,50,2,50,
81,작살 쾌속정(견본),128,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265,7.5,7.0,1266,1,1,0,25.0,15.0,1,50,50,3,50,
82,모험의 쾌속정(견본),128,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265,7.5,7.0,1266,1,1,0,25.0,15.0,1,50,50,3,50,
83,유람선(견본),1046,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,0,0,0,30.0,20.0,1,50,50,1,50,
84,고전 전차(견본),892,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,3.0,1.0,1264,0,0,0,5.0,5.0,1,50,50,5,50,
85,농업용 달구지(견본),1008,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,3.0,1.0,1264,0,0,0,5.0,5.0,1,50,50,6,50,
86,작살포(견본),895,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,7,50,
87,검은 비늘 군단 대포,117,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,8,50,
88,파괴의 요람 달구지,1008,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,3.0,1.0,568,0,0,0,5.0,5.0,143,50,50,6,50,
89,트리스테 가문 대포,117,t,0.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,8,50,
90,시라누스를 잡을 작살포,895,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,143,50,50,7,50,
91,아노의 추모선,129,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,1.5,1.5,1,10,0,4,50,
92,비파 소형 범선,1249,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,2,1,1,30.0,20.0,143,50,50,2,50,
93,방어성탑 대포,1255,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,143,50,50,8,50,
94,전장의 북,1279,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,218,0.0,0.0,637,0,0,0,0.0,0.0,143,50,50,8,7,
96,해상전장 청군 범선,393,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,2,1,1,30.0,20.0,160,50,50,2,50,
97,대포,117,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,143,50,50,8,50,
98,해상전장 홍군 범선,1249,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,2,1,1,30.0,20.0,159,50,50,2,50,
99,함메드의 인간대포,1051,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,7,50,
100,성탑 대포,1277,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,143,50,50,8,50,
101,인양된 몽상의 무역선,1385,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,2,1,1,30.0,20.0,143,50,50,2,50,
102,연인을 위한 오리배,1287,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,1,0,1.5,1.5,143,50,50,4,50,
103,고독한 영혼의 나룻배,1288,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,1,0,1.5,1.5,143,50,50,4,50,
105,황의 페라리,1293,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0,0,0,5.0,5.0,143,50,50,1,50,
106,붉은 혜성 2000,1323,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,2.0,0.5,1264,0,0,1,5.0,5.0,143,50,50,5,50,
107,마력 투석기,2,t,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,,0.0,0.0,,0,0,0,5.0,5.0,143,50,50,7,50,
108,취사지원 달구지,1442,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,3.0,1.0,1264,0,0,0,5.0,5.0,143,50,50,6,50,
109,무역선 인양_부이 6칸 전진,1402,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,2,1,1,30.0,20.0,143,50,50,1,50,
110,조용한 탐구자의 어선,1360,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265,8.0,5.0,1266,1,1,1,25.0,15.0,143,50,50,9,50,
111,검은비늘 군단 대포,117,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,1.0,0.0,,0,0,0,5.0,5.0,1,50,50,8,50,
112,2세대 돌풍,1371,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,2.0,0.5,1264,0,0,1,5.0,5.0,143,50,50,5,50,
113,사나운 포식자의 어선,1383,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265,8.0,5.0,1266,1,1,1,25.0,15.0,143,50,50,9,50,
114,날렵한 여행자의 어선,1384,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265,8.0,5.0,1266,1,1,1,25.0,15.0,143,50,50,9,50,
115,우당탕탕 타악기 모음,1412,t,0.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,218,0.0,0.0,637,0,0,0,0.0,0.0,143,50,50,8,7,
116,밭으로 4호,1406,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,2.0,0.5,1264,0,0,1,5.0,5.0,143,50,50,5,50,
117,붉은 혜성 2000 (시승용),1323,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,2.0,0.5,1264,0,0,1,5.0,5.0,143,50,50,5,50,
118,2세대 돌풍 (시승용),1371,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,2.0,0.5,1264,0,0,1,5.0,5.0,143,50,50,5,50,
119,밭으로 4호 (시승용),1406,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,2.0,0.5,1264,0,0,1,5.0,5.0,143,50,50,5,50,
120,길 잃은 난파선,1385,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,10.0,7.0,568,2,1,1,30.0,20.0,143,50,50,2,50,
121,붉은 황소,1427,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263,2.0,0.5,1264,1,0,0,5.0,5.0,143,50,50,5,50,
