id,sound_pack_id,name,sound_id,comment
1,1,test_attack1,1,
2,1,test_attack2,1,
3,2,mon_fs_dirt_lots_mid,1003,
4,2,mon_fs_dirt_soft_small,1004,
5,2,movement_insect_short,1005,
8,2,movement_insect_long,1010,
10,2,all_co_sk_leapattack,1012,
11,2,x2weapons:swing:large_6,1013,
13,2,fist_ba_combat_idle,1015,
14,2,all_co_sk_spell_launch_d,1016,
16,2,x2weapons:swing:small_1,1017,
17,2,all_re_combat_critical,1018,
19,2,all_re_combat_dodge,1019,
20,2,all_re_combat_hit,1020,
22,2,all_re_combat_struggle,1021,
23,2,all_re_combat_stun_loop,1022,
25,2,fist_ba_relaxed_idle,1023,
26,2,fist_ba_relaxed_idle_rand,1024,
28,2,fist_co_attack_r,1025,
29,2,fist_co_attack_r_2,1026,
31,2,standup_nw_back,1027,
32,2,standup_nw_stomach,1028,
37,3,mon_fs_dirt_lots_mid,1031,
38,3,mon_fs_dirt_soft_small,1032,
39,3,movement_insect_short,1033,
40,3,movement_insect_long,1034,
41,3,all_co_sk_leapattack,1035,
42,3,x2weapons:swing:large_6,,
43,3,fist_ba_combat_idle,1036,
44,3,all_co_sk_spell_launch_d,1037,
45,3,x2weapons:swing:small_1,,
46,3,all_re_combat_critical,1038,
47,3,all_re_combat_dodge,1039,
48,3,all_re_combat_hit,1040,
49,3,all_re_combat_struggle,1041,
50,3,all_re_combat_stun_loop,1042,
51,3,fist_ba_relaxed_idle,1043,
52,3,fist_ba_relaxed_idle_rand,1044,
53,3,fist_co_attack_r,1045,
54,3,fist_co_attack_r_2,1046,
56,3,standup_nw_back,1047,
57,3,standup_nw_stomach,1048,
58,4,movement_npc:underwater_idle,1049,
59,4,all_co_sk_leapattack,1050,
60,4,movement_npc:underwater_move,1051,
61,4,all_co_sk_spell_cast_d,1052,
62,4,all_co_sk_spell_launch_d,1053,
63,4,all_re_combat_critical,1054,
64,4,all_re_combat_hit,1055,
65,4,fist_ba_combat_idle,1056,
66,4,fist_ba_relaxed_idle,1057,
67,4,fist_co_attack_r,1058,
68,4,fist_co_attack_r_2,1059,
69,2,die,1060,
70,3,die,1061,
72,5,Sounds/x2monster_b:bee:_nomal_run,1063,
73,5,Sounds/x2monster_b:bee:_nomal_walk,1064,
74,5,Sounds/x2monster_b:bee:all_co_sk_leapattack,1065,
75,5,Sounds/x2character:movement_npc:insect_short,1005,
77,5,Sounds/x2monster_b:bee:all_co_sk_spell_cast_d,1066,
78,5,Sounds/x2monster_b:bee:all_co_sk_spell_launch_d,1067,
79,5,Sounds/x2character:movement_npc:insect_long,1010,
80,5,Sounds/x2monster_b:bee:all_re_combat_critical,1068,
81,5,Sounds/x2monster_b:bee:all_re_combat_dodge,1069,
82,5,Sounds/x2monster_b:bee:all_re_combat_hit,1070,
83,5,Sounds/x2monster_b:bee:all_re_combat_knockback_b_start,1071,
84,5,Sounds/x2monster_b:bee:all_re_combat_knockback_start,1072,
85,5,Sounds/x2monster_b:bee:all_re_combat_stun_loop,1073,
86,5,Sounds/x2monster_b:bee:fist_ba_combat_idle,1074,
87,5,Sounds/x2monster_b:bee:fist_ba_relaxed_idle,1075,
88,5,Sounds/x2monster_b:bee:fist_ba_relaxed_idle_rand,1076,
89,5,Sounds/x2monster_b:bee:fist_co_attack_r,1077,
90,5,Sounds/x2monster_b:bee:fist_co_attack_r_2,1078,
91,5,Sounds/x2monster_b:bee:standup_nw_back,1079,
97,5,die,1080,
98,7,Sounds/x2monster_footstep:move:dirt_slide_mid,1124,
99,7,Sounds/x2character:movement_npc:slime_long,1102,
100,7,Sounds/x2character:movement_npc:slime_short,1103,
101,7,Sounds/x2monster_g:grubs:all_co_sk_leapattack,1084,
102,7,Sounds/x2monster_g:grubs:all_co_sk_spell_cast_d,1085,
103,7,Sounds/x2monster_g:grubs:all_co_sk_spell_launch_d,1086,
104,7,Sounds/x2monster_g:grubs:all_co_sk_spell_launch_nd,1087,
105,7,Sounds/x2monster_g:grubs:land,1098,
106,7,Sounds/x2monster_g:grubs:all_re_combat_critical,1088,
107,7,Sounds/x2monster_g:grubs:all_re_combat_dodge,1089,
108,7,Sounds/x2monster_g:grubs:all_re_combat_hit,1090,
109,7,Sounds/x2monster_g:grubs:all_re_combat_knockback_b_start,1091,
110,7,Sounds/x2monster_g:grubs:all_re_combat_stun_loop,1092,
111,7,Sounds/x2monster_g:grubs:fist_ba_combat_idle,1093,
113,7,Sounds/x2monster_g:grubs:fist_ba_relaxed_idle_rand,1094,
114,7,Sounds/x2monster_g:grubs:fist_ba_spawn,1095,
