id,name,comment,category_id
1,test1,테스트용,
2,ant,,4
3,ant_small,,4
4,archerfish,,4
5,bee,,4
6,낭만_칼의화음_form,,1
7,grubs,,4
8,grubs_small,,4
9,grubs_mini,,4
10,낭만_칼의화음_launch,,1
11,낭만_매혹의노래_form,,1
12,armourdslime_bark,,4
13,armourdslime_bark_big,,4
14,armourdslime_ironpiece,,4
15,armourdslime_ironpiece_small,,4
16,armourdslime_pebble,,4
17,yata_monster,,4
18,yata,,4
19,tare,,4
20,jellyfish,,4
21,horse,,4
22,낭만_경쾌한행진곡_dot,,1
23,낭만_불협화음_form,,1
24,남만_불협화음_launch,,1
25,낭만_치유의무곡_dot,,1
26,낭만_현인의시_form,,1
27,낭만_현인의시_launch,,1
28,낭만_활기찬광시곡_dot,,1
29,낭만_치유의샘_form,,1
30,낭만_치유의샘_launch,,1
31,낭만_대지의찬가_dot,,1
32,낭만_사자후_form,,1
33,낭만_사자후_launch,,1
34,낭만_기상의나팔소리_launch,,1
35,투명인간_yata_monster_사용,,4
36,snowlion_monster,,4
37,wolf_pet,,4
38,elk,,4
39,totem_stone,,4
40,totem_wood,,4
41,nuian_male,,2
42,nuian_female,,2
43,elf_male,,2
44,elf_female,,2
45,hariharan_male,,2
46,hariharan_female,,2
47,ferre_male,,2
48,ferre_female,,2
49,highorc_(nuian_male),,4
50,weregoat_(ferre_male),,4
51,smallgiant,,4
52,big_smallgiant,,4
53,b1267_평타악기연주_dot,,1
54,b1267_평타악기연주_launch,,1
55,b1267_평타악기연주_타악기용_form,,1
56,낭만_치유의돌림노래_launch,,1
57,낭만_치유의돌림노래_hit_(16),,1
58,낭만_치유의돌림노래_hit_(08),,1
59,낭만_치유의돌림노래_hit_(04),,1
60,낭만_치유의돌림노래_hit_(02),,1
61,cow_white_riding,,4
62,ghost_male_(nuian_male),,4
63,ghost_female_(nuian_male),,4
64,seafolk_female,,4
65,seafolk_male,,4
66,yaksa_warrior,,4
67,yaksa_warrior_sizeup,,4
68,astra_male_(nuian_male),,4
69,astra_male_(nuian_male)_복사테스트,테스트용,
70,bear,,4
71,bear_small,,4
72,behemoth,,4
73,behemoth_small,,4
74,biarm,,4
75,biarm_small_(0.5),,4
76,biarm_big_(2.0),,4
77,centipede,,4
78,centipede_small_(0.5),,4
79,crab,,4
80,crab_big_(2.0),,4
81,crab_small_(0.5),,4
82,crawlingslime,,4
83,crawlingslime_big_(2.0),,4
84,crocodile,,4
85,crocodile_big_(1.5),,4
86,nuian_male_system_message,,5
87,nuian_female_system_message,,5
88,dwarf_male_system_message,,5
89,dwarf_female_system_message,,5
90,elf_male_system_message,,5
91,elf_female_system_message,,5
92,fairy_female_system_message,,5
93,hariharan_male_system_message,,5
94,hariharan_female_system_message,,5
95,returned_male_system_message,,5
96,warborn_male_system_message,,5
97,ferre_male_system_message,,5
98,ferre_female_system_message,,5
99,soundmood_w_solzreed,BGM,
100,test2,테스트용,
101,soundmood_w_gweonid_forest,BGM,
102,soundmood_w_marianople,BGM,
103,soundmood_w_garangdol_plains,BGM,
104,soundmood_e_sunrise_peninsula,BGM,
105,soundmood_w_lilyut_meadow,BGM,
106,soundmood_e_rainbow_field,BGM,
107,soundmood_w_two_crowns,BGM,
108,soundmood_e_mahadevi,BGM,
109,soundmood_w_bronze_rock_음악없음,BGM,
110,soundmood_e_falcony_plateau,BGM,
111,soundmood_e_singing_land,BGM,
112,soundmood_e_sunny_wilderness_음악없음,BGM,
113,soundmood_e_steppe_belt,BGM,
114,soundmood_e_ruins_of_hariharalaya,BGM,
115,soundmood_e_lokas_checkers,BGM,
116,soundmood_e_ynystere,BGM,
117,soundmood_w_white_forest,BGM,
118,soundmood_w_the_carcass,BGM,
119,soundmood_w_cross_plains,BGM,
120,soundmood_w_cradle_of_genesis_음악없음,BGM,
121,soundmood_e_hasla,BGM,
122,soundmood_e_tiger_spine_mountains,BGM,
123,soundmood_e_ancient_forest,BGM,
124,soundmood_w_hell_swamp,BGM,
125,soundmood_w_long_sand,BGM,
126,soundmood_w_barren_land_음악없음,BGM,
127,soundmood_w_golden_plains,BGM,
128,soundmood_s_all,BGM,
129,soundmood_인던_훈련야영지,BGM,
130,soundmood_o_salpimari,BGM,
131,soundmood_o_nuimari,BGM,
132,soundmood_o_seonyeokmari,BGM,
133,soundmood_o_rest_land,BGM,
134,soundmood_인던_불탄성무기고,BGM,
135,soundmood_인던_하디르의농장,BGM,
136,soundmood_인던_서방이슈바라왕궁지하,BGM,
137,soundmood_e_white_island_음악없음,BGM,
138,soundmood_archemall,BGM,
139,soundmood_인던_칼바람폐광,BGM,
140,soundmood_인던_울부짖는구렁텅이,BGM,
141,devourer,,4
142,devourer_big_(1.2),,4
143,무기 상인_남자,,3
144,run_galleon,ShipUnitModel,
145,run_smallboat,ShipUnitModel,
146,run_speedboat,ShipUnitModel,
147,방어구 상인_남자,,3
148,잡화 상인_여자,,3
149,음식 상인_여자,,3
150,약품 상인_여자,,3
151,가구 재료 상인_남자,,3
152,묘목 상인_남자,,3
153,재료 상인_여자,,3
154,공성 무기 상인_남자,,3
155,가축 상인_여자,,3
156,씨앗 상인_여자,,3
157,어둠의 상인_여자,,3
158,떠돌이 상인_다루,,3
159,대장장이_남자,,3
160,마구간지기_남자,,3
161,영지 관리인_남자_OBT이후,,3
162,능력 관리인_남자,,3
163,창고 관리인_다루,,3
164,원정대 관리인_남자,,3
165,전장 모병관_남자,,3
166,경매장 관리인_남자,,3
167,교역상_남자,,3
168,교역상_여자,,3
169,델피나드의 별_다루,,3
170,부활의 인도자_여자,,3
171,run_tank,VehicleUnitModel,
172,낚시꾼_남자_OBT이후,,3
173,run_siege_catapult,VehicleUnitModel,
174,run_siege_tower,VehicleUnitModel,
175,run_carriage,VehicleUnitModel,
176,run_tractor,VehicleUnitModel,
177,run_tiger_cart,VehicleUnitModel,
178,run_airship,VehicleUnitModel,
179,run_landship_tram,VehicleUnitModel,
180,run_maritram,VehicleUnitModel,
181,eel,,4
182,eel_electric,,4
183,soundmood_누이아_마을,BGM,
184,soundmood_누이아_야영지,BGM,
185,soundmood_마을_페허,BGM,
186,soundmood_환락가,BGM,
187,soundmood_인던_파괴의요람,BGM,
188,totem_wood_quest,,4
189,soundmood_하리하라_마을,BGM,
190,soundmood_하리하라_야영지,BGM,
191,soundmood_하리하라_A급 거점,BGM,
192,soundmood_누이아_A급 거점,BGM,
193,무기 상인_남자_나라야나,,3
194,방어구 상인_남자_나라야나,,3
195,마구간지기_남자_나라야나,,3
196,원정대 관리인_해적남자,,3
197,음식 상인_아줌마,,3
198,음식 상인_여자_나라야나,,3
199,약품 상인_여자_나라야나,,3
200,명예 점수 수집가_남자,,3
201,잡화 상인_여자_나라야나,,3
202,경매장 관리인_남자_나라야나,,3
203,global,"global (w, b가 아닌 sound)",6
204,window,window,6
205,button,button,6
206,hidra,,4
207,hidra_small,,4
208,soundmood_주거지역_공용목장,BGM,
209,안내인_다루_경매기능,,3
210,벅시루루_다루,,3
211,창고 관리인_남자,,3
212,yeti_big,,4
213,yeti,,4
214,soundmood_인던보스_칼바람폐광,BGM,
215,soundmood_인던보스_불탄성무기고,BGM,
216,soundmood_인던보스_울부짖는구렁텅이,BGM,
217,soundmood_인던보스_서방이슈바라왕궁지하,BGM,
218,soundmood_인던보스_하디르의농장,BGM,
219,soundmood_인던보스_파괴의요람,BGM,
220,mudgolem,,4
221,mudgolem_big,,4
222,spartoi,,4
223,spartoi_large,,4
224,unicornlion_big,,4
225,elephant,,4
226,elephant_big,,4
227,narayana_male,,4
228,narayana_female,,4
229,jabberwocky,,4
230,jabberwocky_big,,4
231,gnoll,,4
232,basilisk_big,,4
233,beholder,,4
234,bloodyarmy,,4
235,boar,,4
236,brokencorpse,,4
237,daru,,4
238,soundmood_하리하라_마을_테스트,테스트용,
239,yaksa_big,,4
240,maledeer,,4
241,yata_baby,,4
242,wraith,,4
243,demisnake_female,,4
244,demisnake_male,,4
245,woodgiant_silent,,4
246,detectmachine,,4
247,woodgiant_silent_big,,4
248,devildog,,4
249,dog,,4
250,doodling,,4
251,wood_elemental,,4
252,wolf_solzreed,,4
253,doppelganger,,4
254,wisp,,4
255,darkwolf,,4
256,windelemental_small,,4
257,windelemental_big,,4
258,drowned,,4
259,wildox_plain,,4
260,wildox_sandwind,,4
261,dullahan_knight,,4
262,werewolf,,4
263,werespider,,4
264,centauros,,4
265,cockatrice,,4
266,wereshark,,4
267,werefox,,4
268,collectmachine,,4
269,water_elemental,,4
270,dullahan_warrior,,4
271,water_elemental_big,,4
272,cow,,4
273,soundmood_고요한바다_자유도,BGM,
