id,name,path,end_method_id,level_id,comment,category_id
1,사용안함_선택하지 말것,,1,1,test,
2,ui_서브메뉴_show,sounds/x2interface:interface:submenu_show,1,1,,7
3,ui_편지_연속읽기,sounds/x2interface:mail:read_changed,1,1,,7
4,ui_pickup_p_cat,sounds/x2item:p_cat:pickup,1,1,,12
5,ui_use_p_cat,sounds/x2item:p_cat:use,1,1,,12
6,bgm_id_하디르농장_01,sounds/x2music:id_hadir_farm:01,1,1,,11
7,bgm_id_하디르농장_02,sounds/x2music:id_hadir_farm:02,1,1,,11
8,bgm_id_서방이슈바라왕궁지하_01,sounds/x2music:id_sal_temple:01,1,1,,11
9,UI_월드서버입장,sounds/x2interface:login_stage:connect_world,1,1,,7
10,ui_아이템파괴,sounds/x2interface:interface:item_destroy,1,1,,7
11,ui_경매장물품등록_슬롯,sounds/x2interface:auction:putup_item,1,1,,7
12,ui_능력변경,sounds/x2interface:ability_change:change,1,1,,7
13,ui_능력변경창_show,sounds/x2interface:ability_change:show,1,1,,7
14,ui_능력변경창_hide,sounds/x2interface:ability_change:hide,1,1,,7
15,ui_숙련도증가,sounds/x2eventsounds:interaction:actability_expert_changed_2d,1,1,,7
16,quest_dog_bark01,sounds/x2character:animals:dog_bark,1,1,,8
17,quest_dog_bark02,sounds/x2character:animals:dog_bark,1,1,,8
18,quest_dog_idle,sounds/x2character:animals:dog_idle,1,1,,8
19,quest_dog_damage,sounds/x2character:animals:dog_dmg,1,1,,8
20,ui_button_down_default,sounds/x2interface:interface:button_down_default,1,1,,7
21,ui_button_ok_1,sounds/x2interface:interface:button_ok_1,1,1,,7
22,ui_button_cancel_1,sounds/x2interface:interface:button_cancel_1,1,1,,7
23,ui_button_ok_2,sounds/x2interface:interface:button_ok_2,1,1,,7
24,ui_button_cancel_2,sounds/x2interface:interface:button_cancel_2,1,1,,7
26,ui_quest_success_1,sounds/x2interface:quest:success,1,1,,7
27,ui_quest_fail_1,sounds/x2interface:quest:fail,1,1,,7
28,ui_마우스오버,sounds/x2interface:interface:button_default_ro,1,1,,7
29,ui_quest_accept_1,sounds/x2interface:quest:accept,1,1,,7
30,ui_quest_abandon_1,sounds/x2interface:quest:abandon,1,1,,7
31,quest_horse_whinny,sounds/x2character:animals:horse1_whinny_01,1,1,,8
32,ShipUnitModel_gelleon_run,sounds/x2vehicles:ship:move_02,1,1,,14
33,ShipUnitModel_gelleon_steering,sounds/x2vehicles:ship:turn,1,1,,14
35,시스템메세지_사용할수없습니다.,sounds/x2voice_system:message:failure,1,1,,5
36,시스템메세지_대상이없습니다.,sounds/x2voice_system:message:no_target,1,1,,5
