id,owner_type_id,sub_type,pos_dir_id,pos_angle,pos_distance,ori_dir_id,ori_angle,use_summoner_faction,life_time,despawn_on_creator_death,use_summoner_aggro_target
1,2,1,2,0.0,1.0,1,0.0,f,0.0,t,t
3,2,3,2,0.0,1.0,1,0.0,f,0.0,t,t
4,2,3,2,0.0,1.0,1,0.0,f,0.0,t,t
5,1,3,2,0.0,1.0,1,0.0,f,0.0,t,t
6,1,4,2,0.0,1.0,1,0.0,f,0.0,t,t
7,2,4,2,0.0,1.0,1,0.0,f,0.0,t,t
10,2,12,2,0.0,1.0,1,0.0,f,0.0,t,t
11,2,6,2,0.0,1.0,1,0.0,f,0.0,t,t
18,2,7,2,0.0,1.0,1,0.0,f,0.0,t,t
19,1,280,2,0.0,1.0,1,0.0,f,0.0,t,t
24,2,9,2,0.0,1.0,1,0.0,f,0.0,t,t
25,2,11,2,0.0,1.0,1,0.0,f,0.0,t,t
30,1,175,2,0.0,1.0,1,0.0,f,0.0,t,t
31,2,14,2,0.0,1.0,1,0.0,f,0.0,t,t
32,2,15,2,0.0,1.0,1,0.0,f,0.0,t,t
33,2,13,2,0.0,1.0,1,0.0,f,0.0,t,t
35,2,17,2,0.0,1.0,1,0.0,f,0.0,t,t
41,1,599,2,0.0,1.0,1,0.0,f,0.0,t,t
45,0,609,2,0.0,1.0,1,0.0,f,0.0,t,t
46,1,609,2,0.0,1.0,1,0.0,f,0.0,t,t
47,1,610,2,0.0,1.0,1,0.0,f,0.0,t,t
48,1,610,2,0.0,1.0,1,0.0,f,0.0,t,t
51,1,5568,2,30.0,5.0,1,0.0,f,0.0,t,t
52,1,5568,2,60.0,5.0,1,0.0,f,0.0,t,t
53,1,5568,2,90.0,5.0,1,0.0,f,0.0,t,t
59,1,560,2,0.0,1.0,1,0.0,f,0.0,t,t
72,1,721,2,0.0,1.0,1,0.0,f,0.0,t,t
77,1,815,2,0.0,1.0,1,0.0,f,0.0,t,t
85,1,920,2,0.0,1.0,1,0.0,f,0.0,t,t
90,2,13,2,0.0,1.0,1,0.0,f,0.0,t,t
93,1,5262,2,0.0,1.0,1,0.0,f,0.0,t,t
100,1,3836,2,0.0,1.0,1,0.0,f,0.0,t,t
101,1,609,2,0.0,1.0,1,0.0,f,0.0,t,t
106,1,3489,2,0.0,1.0,1,0.0,f,0.0,t,t
113,1,580,2,180.0,2.0,1,0.0,f,0.0,t,t
133,1,3696,2,0.0,1.0,1,0.0,f,0.0,t,t
148,1,5569,2,0.0,1.0,1,0.0,f,0.0,t,t
149,1,3820,2,0.0,1.0,1,0.0,f,0.0,t,t
150,1,3821,2,0.0,1.0,1,0.0,f,0.0,t,t
151,1,3822,2,0.0,1.0,1,0.0,f,0.0,t,t
152,1,3817,2,0.0,1.0,1,0.0,f,0.0,t,t
153,1,3819,2,0.0,1.0,1,0.0,f,0.0,t,t
169,1,5276,2,0.0,1.0,1,0.0,f,0.0,t,t
179,1,2128,2,10.0,10.0,2,0.0,f,0.0,t,t
180,1,2128,2,350.0,10.0,2,0.0,f,0.0,t,t
186,1,2104,2,0.0,1.0,1,0.0,f,0.0,t,t
198,1,5566,2,0.0,3.0,1,0.0,f,180.0,t,t
199,1,5566,2,15.0,4.0,1,0.0,f,180.0,t,t
200,1,5567,2,30.0,5.0,1,0.0,f,180.0,t,t
201,1,5566,2,60.0,3.0,1,0.0,f,180.0,t,t
202,1,5567,2,330.0,5.0,1,0.0,f,180.0,t,t
207,1,2103,2,0.0,10.0,1,0.0,f,0.0,t,t
213,1,3451,2,0.0,1.0,1,0.0,f,0.0,t,t
234,1,3594,2,0.0,5.0,1,0.0,f,0.0,t,t
243,1,5160,2,10.0,15.0,3,0.0,f,0.0,t,t
244,1,5160,2,350.0,15.0,3,0.0,f,0.0,t,t
246,1,5160,2,10.0,15.0,3,0.0,f,0.0,t,t
248,1,5161,2,350.0,15.0,3,0.0,f,0.0,t,t
249,1,5161,2,10.0,15.0,3,0.0,f,0.0,t,t
250,1,5161,2,350.0,15.0,3,0.0,f,0.0,t,t
252,1,4941,2,0.0,1.0,1,0.0,f,0.0,t,t
254,1,4941,2,0.0,1.0,1,0.0,f,0.0,t,t
