id,special_effect_type_id,value1,value2,value3,value4
27,11,15,0,0,0
36,10,10,3,0,0
50,10,11,10,0,0
51,10,13,40,-10,0
52,10,14,1,0,0
81,13,390,39,0,0
87,13,390,39,0,0
100,19,376,0,0,0
101,19,376,0,0,0
105,15,881,1000,0,0
109,13,390,39,0,0
112,20,1,0,0,0
113,21,1,0,0,0
115,15,28,1000,0,0
116,22,1,20,20,0
136,23,0,0,0,0
156,24,3466,0,0,0
161,25,0,0,0,0
163,24,504,0,0,0
173,24,115,0,0,0
174,13,200,10,0,0
175,22,1,1,1,0
177,13,260,39,0,0
179,15,28,1000,0,0
200,16,1,0,0,0
201,15,102,1000,0,0
209,10,22,0,0,0
212,13,260,39,0,0
214,15,1039,1000,0,0
215,10,29,149,0,0
234,15,255,1000,0,0
238,15,259,1000,0,0
239,15,260,1000,0,0
243,29,500,0,0,0
246,24,504,0,0,0
248,24,504,0,0,0
249,24,504,0,0,0
252,13,650,39,0,0
253,13,260,39,0,0
256,13,260,39,0,0
257,11,20,0,0,0
259,15,313,1000,0,0
260,13,325,39,0,0
261,5,100,0,0,0
262,13,260,39,0,0
267,27,1432,1,0,0
268,27,3889,1,0,0
269,27,3889,1,0,0
270,27,3889,1,0,0
271,27,3889,1,0,0
272,27,3889,1,0,0
273,27,3889,1,0,0
294,15,811,1000,0,0
298,15,332,1000,0,0
299,27,1441,1,0,0
300,27,1432,1,0,0
301,15,313,1000,0,0
302,30,0,0,0,0
304,25,7,0,0,0
305,25,20,0,0,0
306,25,20,0,0,0
307,15,889,1000,0,0
309,23,0,0,0,0
310,27,1443,1,0,0
312,25,19,0,0,0
313,15,820,1000,0,0
320,15,1745,1000,0,0
323,15,247,1000,0,0
324,15,371,1000,0,0
332,15,832,1000,0,0
333,15,833,0,0,0
338,24,4944,0,0,0
342,27,0,0,0,0
343,27,1,0,0,0
351,15,995,0,0,0
362,13,700,70,0,0
369,13,300,30,0,0
371,13,500,50,0,0
388,13,1000,0,0,0
390,33,10390,0,0,0
394,33,11417,100,0,0
395,33,11418,0,100,0
401,13,300,0,0,0
402,33,11419,0,50,0
405,32,5054,0,0,0
417,13,200,-130,0,0
420,13,400,0,0,0
429,15,1104,1000,0,0
433,15,900,1000,0,0
448,15,1018,1000,0,0
450,25,32,0,0,0
451,25,31,0,0,0
462,22,1,40,40,0
463,22,1,60,60,0
464,22,1,80,80,0
466,13,700,40,0,0
473,27,5198,1,0,0
475,15,1079,1000,0,0
483,11,20,0,0,0
486,27,5264,1,0,0
487,15,1018,1000,0,0
488,15,1157,1000,0,0
492,15,1157,1000,0,0
500,27,5295,0,0,0
501,27,8558,0,0,0
502,27,4973,0,0,0
