id,sphere_bubble_id,is_start,speech,npc_id,npc_spawner_id,next_bubble,sound_id,angle,chat_bubble_kind_id,facial,camera_id,change_speaker_name
4,4,t,"/손인사 @PC_NAME(0), 정신차려.",,4859,0,,0,1,,,
5,5,f,"하아, 난 이제 와서 나무의 길 재건 공사를 왜 하는지 모르겠어.",,1057,6,,107,1,,,
6,5,f,마리아노플과 초승달 왕좌를 잇는 길을 복원한다고 기울어진 살림이 피냐고...,,1057,7,,107,1,,,
7,5,f,시끄러워. 우린 그냥 경비대장이 시키는 대로만 하면 돼.,,1060,8,,115,1,,,
8,5,f,그나저나 나무의 길이란 건 왜 만든 거야?,,1060,9,,115,1,,,
9,5,f,"물자, 특히 나무가 오가던 길이었다고 하더군. 초승달 왕좌가 기울면서 자연히 쇠퇴했고...",,1214,204,,136,1,,,
10,6,t,"/안녕 @PC_NAME(0), 여기서 뭐 하고 있어? @NPC_NAME(390) 님이 돌아오셨어.",389,536,,,0,1,,,
12,7,t,/대화 훈련용 허수아비라고 우습게 보면 안 돼. 훈련은 나 자신과의 싸움이니깐.,,511,27,,0,1,,,
13,9,t,/대화 이곳을 떠나더라도 언제나 호기심을 잃지 않도록 해.,563,0,21,,0,1,,,
14,8,t,/말 엔비어스의 질투가 하늘을 찌르고 있는 것 같으니 조심해.,,484,,,0,1,,,
17,10,t,"/화남 선생님, 왜 제가 아닌 @PC_NAME(0)입니까? 저는 이걸 인정하지 못하겠습니다.",,521,18,,180,1,,,
18,10,f,/말 수련 과정에서 보여준 @PC_NAME(0)의 능력을 인정하지 못하겠단 말이니? 넌 아직 수련이 부족하구나. ,,528,0,,180,1,,,
19,11,t,"/대화 오, 이제 수련장을 떠나는구나? 이번에 누이안이 만든 폭죽을 구해왔는데 한 번 써볼래?",,558,20,,0,1,,,
20,11,f,"/아니 폭죽도 좋지만, 이번에 내가 가져온 물건 좀 보고 가. 여행에 도움이 될 거야.",7725,0,0,,0,1,,,
21,9,f,"/말 무엇이든 만져보고, 어디든 가다 보면 뜻밖의 행운이 있을지도 모르잖아?",563,0,,,0,1,,,
