id,quest_id,quest_trigger_id
4,176,1
5,49,3
6,61,1
7,61,1
8,61,1
9,99,1
10,604,1
11,1663,1
12,604,1
15,63,1
18,604,1
21,202,1
25,954,1
28,25,1
33,230,3
35,29,1
36,29,1
38,65,4
39,57,4
40,67,4
41,67,4
42,67,4
43,67,4
44,35,1
55,168,1
56,273,1
61,75,4
62,75,1
63,75,1
67,291,1
68,291,1
70,224,1
75,256,1
77,252,1
78,295,1
79,263,1
81,329,3
82,115,1
83,115,1
84,115,1
85,103,1
87,119,1
88,121,1
89,123,1
90,123,1
91,123,1
92,124,1
93,136,1
94,329,3
95,155,1
99,159,4
101,41,3
102,348,4
103,348,1
106,255,1
107,348,1
108,13,1
109,13,1
110,13,1
111,321,1
112,176,4
113,176,1
114,179,1
115,179,3
116,182,4
117,182,1
120,340,3
121,341,1
122,339,1
123,524,1
125,522,1
126,531,1
127,541,1
128,592,1
130,574,1
131,562,1
132,567,1
134,554,1
135,571,1
136,533,1
137,548,1
139,549,1
140,558,1
148,577,1
149,578,4
150,595,4
155,173,1
156,172,1
157,374,1
163,536,1
164,171,1
165,386,4
166,554,1
167,555,1
170,605,1
171,618,1
172,626,1
173,628,1
174,630,4
175,633,1
176,640,1
177,644,1
178,648,4
179,649,4
180,656,4
181,653,4
182,658,1
183,660,4
184,659,4
185,661,1
186,614,4
187,344,1
189,646,4
190,655,1
191,137,1
192,425,1
194,431,1
195,803,1
196,1435,1
197,1463,1
198,856,1
199,906,3
200,813,1
201,821,1
202,800,1
203,802,3
204,1858,3
205,837,1
206,820,1
207,1852,3
208,1851,1
209,849,3
210,805,1
211,815,3
212,834,1
213,838,1
214,838,1
215,836,1
216,856,4
219,668,1
247,136,3
256,631,1
259,865,1
260,866,1
261,867,1
262,872,1
263,917,1
264,887,1
265,898,1
266,912,1
267,441,1
268,884,1
271,708,3
272,872,1
273,890,1
275,361,1
276,361,1
277,361,1
279,452,1
280,14,1
281,559,4
282,590,4
283,91,1
284,82,3
285,858,1
289,63,1
293,79,3
296,570,1
297,860,4
298,934,3
299,935,3
300,531,1
301,923,1
302,936,1
303,291,1
305,776,1
308,592,1
309,936,1
312,798,1
313,455,1
315,590,1
316,756,1
317,908,1
318,455,1
319,455,1
320,559,1
321,457,1
322,458,1
324,976,1
326,978,1
329,981,4
331,980,4
335,983,1
340,983,1
345,993,1
346,994,4
347,1000,1
348,1006,1
349,1011,1
350,1012,1
351,1014,1
352,1017,1
353,1019,1
354,1020,1
355,1022,1
356,1024,1
357,1026,1
358,1028,1
359,1034,1
360,1040,1
361,1042,1
362,1042,1
363,1043,3
365,1011,1
372,1236,1
373,1237,1
374,1239,1
375,420,1
376,1051,1
377,1071,1
378,1105,1
379,1106,1
380,1108,1
381,1051,1
382,1241,1
383,1066,1
385,1073,1
387,1102,1
388,1085,1
389,1101,1
397,28,3
399,1182,3
400,1192,1
401,1113,4
406,1168,3
407,1141,1
408,1137,1
410,1193,1
411,1115,1
415,1154,1
416,1157,4
417,1167,1
418,1421,1
419,1170,4
420,1173,1
421,1183,1
422,1183,1
423,1183,1
424,1184,4
425,1184,1
426,1186,1
427,1207,1
428,1208,1
429,1428,1
432,1436,1
433,1437,1
434,1441,1
440,1372,1
443,1312,1
444,1313,1
445,3611,3
447,1315,1
448,1316,1
449,1317,1
450,1323,1
452,1329,1
453,1325,3
454,1327,1
455,1332,1
456,1339,1
457,1341,1
458,1343,1
459,5718,1
460,1352,1
461,1353,3
462,1354,3
463,1355,1
464,1358,3
468,5051,1
469,1337,4
471,1464,1
472,1351,1
473,1375,1
475,1392,1
476,1479,1
479,1483,1
481,1398,1
482,1400,1
484,1577,3
485,255,3
488,1488,1
489,1491,1
490,1492,1
491,681,1
493,893,1
494,1502,1
495,1504,1
496,1517,1
497,15,1
498,1652,3
501,420,1
502,440,1
503,440,1
504,431,1
505,434,1
506,435,1
507,437,1
508,423,1
509,425,1
510,425,1
515,1218,1
516,312,1
518,1494,1
519,420,1
520,453,1
521,455,3
522,455,1
523,455,1
524,1301,1
525,1302,1
526,1361,3
527,1361,1
528,1253,1
529,1366,1
533,1436,1
536,1601,1
539,79,1
540,1608,1
541,1650,1
543,1676,1
544,1639,3
545,302,1
546,339,1
547,183,1
549,1366,1
551,118,1
552,1701,1
553,349,3
554,144,1
555,1611,1
556,1706,1
557,779,1
558,692,1
559,1702,1
560,1703,3
561,1703,3
562,5051,1
563,1705,1
567,1728,1
569,1041,1
570,1013,1
571,1872,1
572,5716,1
573,1927,3
574,1935,1
575,1969,1
576,1998,1
577,1039,1
578,997,1
579,1033,1
580,1975,1
581,1989,1
582,1990,3
583,1995,1
584,1997,1
585,1998,1
586,2010,1
587,2009,1
588,2016,1
589,2021,1
590,1317,1
591,1323,1
592,2050,1
595,2046,1
596,1982,1
597,1983,1
598,3357,1
599,2007,1
600,2079,1
601,1938,1
602,1431,1
603,1041,1
604,2017,1
605,3335,1
606,1872,1
607,2039,1
608,3639,1
609,1897,1
610,1897,1
611,2017,1
612,1952,3
613,2132,1
614,2133,1
615,1963,1
618,1236,1
619,1571,1
621,626,3
622,1571,1
624,3541,1
626,3525,1
627,2455,1
628,2437,1
629,2476,1
630,2481,1
631,2349,1
632,2351,1
633,2352,1
634,2233,1
637,1237,1
638,2566,1
639,2566,1
640,2579,1
641,2131,1
645,2684,1
650,1738,1
651,1739,1
652,2717,1
653,2762,1
654,2764,1
655,2566,1
658,2794,3
659,5491,3
660,2907,1
661,2276,1
662,2907,1
663,2296,1
664,2907,1
665,2346,1
666,2338,1
667,1756,1
668,2303,1
669,2920,1
670,2320,1
671,2335,1
672,2274,1
674,1791,1
675,2819,3
676,1803,1
678,1353,1
679,3041,1
680,2327,1
681,1821,1
682,2298,1
683,2276,1
686,3046,1
688,3078,1
689,3088,1
690,925,1
693,3349,1
694,3069,1
695,3615,1
696,3643,1
697,3142,3
698,3169,1
699,2041,1
700,5051,1
701,5051,1
702,3387,1
703,3403,1
704,3969,1
705,3427,1
706,1985,1
707,3612,1
708,3612,1
709,3612,1
710,2998,1
711,3616,1
712,3581,1
713,3352,1
714,3332,1
715,3679,1
716,3706,1
717,3715,1
718,3730,1
719,2985,1
720,3656,1
721,2046,1
722,3506,1
723,3746,1
724,3747,1
725,3748,4
726,3749,3
727,3750,3
728,3751,3
729,3752,3
730,3753,3
731,3754,3
732,3755,3
733,3756,3
734,3757,3
736,3711,1
737,3766,1
738,3704,1
739,2979,3
740,3859,3
741,3448,1
742,3518,1
743,3709,3
744,3872,1
745,3872,1
746,3872,1
747,3872,1
748,3872,1
749,3872,1
750,3547,1
751,3788,1
752,3477,1
753,3553,1
754,3482,1
755,1999,3
756,3772,1
757,3966,1
758,3971,1
759,5499,1
760,3977,3
761,3547,1
762,3819,3
763,3925,1
764,2085,1
765,2084,1
766,3915,1
767,3476,1
768,3835,1
769,3439,1
770,2046,1
771,2255,1
772,1525,1
773,2263,1
774,2262,1
775,2265,1
776,4037,1
777,3610,3
778,3539,1
780,2046,1
782,1424,1
783,2782,3
784,2788,3
785,2825,3
786,3987,1
788,4280,1
789,4280,1
790,3902,1
791,4407,1
792,4280,1
793,3894,1
794,3554,1
795,4286,3
796,4285,1
797,3836,3
798,4299,1
799,4300,3
800,2936,1
801,3985,1
802,4340,1
803,4341,1
804,4363,1
805,4376,1
806,4378,1
807,4321,4
808,4325,4
809,4326,4
810,4385,4
811,4387,4
812,4392,4
813,4338,1
816,4445,3
817,4446,3
818,4447,3
819,4448,3
820,4449,3
821,4450,3
822,4451,3
823,4452,3
824,4453,3
825,4454,3
826,4455,3
827,4456,3
828,4457,3
829,4458,3
830,4459,3
831,4460,3
832,4461,3
833,4462,3
834,4463,3
835,4464,3
836,4467,3
837,4468,3
838,4469,3
839,4470,3
840,4471,3
841,4472,3
842,4473,3
843,4474,3
844,4475,3
845,4476,3
846,4480,3
847,4481,3
848,4482,3
849,4483,3
850,4484,3
851,4485,3
852,4486,3
853,4487,3
854,4488,3
855,4489,3
856,4491,3
857,4492,3
858,4493,3
859,4494,3
860,4495,3
861,4496,3
862,4497,3
863,4498,3
864,4499,3
865,4500,3
866,4501,3
867,4502,3
868,4504,3
869,4505,3
870,4506,3
871,4508,3
872,4509,3
873,4510,3
874,4511,3
875,4512,3
876,4513,3
877,4514,3
878,4515,3
879,4516,3
880,4517,3
881,4520,3
882,4521,3
883,4522,3
884,4523,3
885,4524,3
886,4525,3
887,4526,3
888,4527,3
889,4528,3
890,4529,3
891,4530,3
892,4531,3
893,4532,3
894,4533,3
895,4534,3
896,4535,3
897,4536,3
898,4537,3
899,4538,3
900,4539,3
901,4540,3
902,4547,3
903,4555,3
904,4556,3
905,4557,3
906,4558,3
907,4559,3
908,4560,3
909,4561,3
910,4562,3
911,4563,3
912,4594,3
913,4595,3
914,4596,3
915,4597,3
916,4598,3
917,4599,3
918,4600,3
919,4601,3
920,4602,3
921,4603,3
922,4604,3
923,4605,3
924,4606,3
925,4607,3
926,4608,3
927,4609,3
928,4610,3
929,4611,3
930,4612,3
931,4613,3
932,4614,3
933,4615,3
934,4616,3
935,4619,3
936,4626,3
937,4627,3
938,4628,3
939,4629,3
940,4630,3
