id,skill_id,max_rate,min_rate
1,11581,100,100
3,11592,100,100
4,11623,100,100
5,11657,100,100
6,11661,100,100
7,11856,100,100
8,14210,100,100
9,12247,100,100
10,12171,100,100
11,12177,100,100
12,12178,100,100
13,12191,100,100
14,12223,100,100
15,12286,100,100
16,12292,100,100
17,12297,100,100
18,12402,100,100
19,12436,100,100
21,12595,100,100
23,12531,100,100
24,17729,100,100
25,12608,100,100
26,12704,100,100
27,12732,100,100
28,12733,100,100
29,12941,100,100
30,13418,100,100
31,13480,100,50
32,13497,100,100
33,13594,100,100
34,13629,100,100
35,13760,100,100
37,13823,100,100
38,13327,100,100
39,12109,100,100
40,13923,100,100
41,2,100,0
43,18378,100,100
44,14142,100,100
45,14230,100,100
46,14290,100,100
47,14298,100,100
48,13876,100,100
49,16588,100,100
50,15064,100,100
51,15146,100,100
52,16108,100,100
53,16087,100,100
54,16087,100,100
55,16087,100,100
56,16079,100,100
57,16214,100,100
58,16247,0,0
59,16399,100,100
60,16400,100,100
61,16417,100,100
62,16418,100,100
63,16419,100,100
64,16420,100,100
65,16478,100,0
66,16534,100,0
67,16564,100,100
68,16578,100,100
69,16593,100,100
70,16626,100,100
71,16648,100,100
72,16746,100,100
73,16747,100,100
74,16748,100,100
75,16749,100,100
76,16750,100,100
77,16751,100,100
78,16752,100,100
79,16753,100,100
80,16754,100,100
81,16755,100,100
82,16756,100,100
83,16757,100,100
84,16758,100,100
85,16759,100,100
86,16760,100,100
87,16761,100,100
88,16762,100,100
89,16763,100,100
90,16764,100,100
91,16765,100,100
92,16800,100,100
93,16816,100,100
94,16829,100,100
95,16764,100,100
96,16903,100,0
97,16598,100,100
98,16932,100,100
99,16941,100,0
100,16941,100,0
101,16941,100,0
102,16941,100,0
103,16941,100,0
104,16941,100,0
105,16972,100,100
106,16994,100,0
107,16986,100,100
108,16990,100,100
111,17081,100,100
113,17117,100,100
114,17119,100,100
115,17499,100,100
116,17143,100,100
117,17976,100,100
118,17978,100,100
119,17226,100,0
120,17229,100,0
121,17249,100,100
122,17262,100,100
123,17327,100,100
126,17534,100,100
128,17569,100,100
129,17590,100,100
130,17611,100,100
131,17675,100,100
132,17676,100,100
133,17682,100,100
134,17683,100,100
135,17684,100,100
137,17656,100,100
138,17749,100,100
139,18057,100,100
142,19573,100,100
143,18229,100,100
144,18238,100,100
145,18244,100,100
146,18272,100,100
147,18323,100,100
148,18341,100,100
149,18408,100,100
150,18519,100,100
151,18547,100,100
152,18703,100,100
153,18903,100,100
154,19080,100,100
155,19092,100,100
156,19123,100,100
157,18974,100,100
158,19144,100,100
159,17585,100,100
160,19244,100,100
161,19246,100,100
162,19245,100,100
163,19163,100,100
164,19218,100,100
165,19142,100,100
166,19300,100,100
167,2,100,100
168,19403,100,100
169,19350,100,100
170,19416,100,100
171,19428,100,100
172,19433,100,100
173,19444,100,100
174,19457,100,100
175,19522,100,100
176,19523,100,100
177,19524,100,100
178,19533,100,100
179,19565,100,100
180,19568,100,100
181,19570,100,100
183,19576,100,100
184,19666,100,100
185,19745,100,100
186,16140,100,100
187,16331,100,100
188,20190,100,100
189,20195,100,100
191,20302,100,100
192,20303,100,100
194,20534,100,100
195,14419,100,0
198,21413,100,100
199,21448,100,100
200,21476,100,100
201,21482,100,100
202,21886,100,100
203,22424,100,100
204,22468,100,100
206,22963,100,100
207,22874,100,100
208,23154,100,100
209,23362,100,100
210,23512,100,100
211,23601,100,100
