id,name,enter_or_leave,sphere_detail_id,sphere_detail_type,trigger_condition_id,trigger_condition_time,team_msg,category_id,or_unit_reqs,is_personal_msg
4,Q176_미심쩍은목소리_진입,t,4,SphereQuest,3,0,,10,f,f
5,Q49_아직마르지않은핏자국_핏자국1,t,5,SphereQuest,3,0,,2,f,f
6,Q61_아직마르지않은핏자국_핏자국2,t,6,SphereQuest,0,0,,1,f,f
7,Q61_아직마르지않은핏자국_핏자국3,t,7,SphereQuest,0,0,,1,f,f
8,Q61_아직마르지않은핏자국_도적시체,t,8,SphereQuest,0,0,,1,f,f
9,Q99_가랑돌평원_돌의형제회야영지,t,9,SphereQuest,3,0,,1,f,f
10,Q604_하피마녀의둥지_첫번째진입,t,10,SphereQuest,3,0,,10,f,f
11,Q1663_침묵의거상입구,t,11,SphereQuest,3,0,,1,f,f
12,Q604_하피마녀의둥지_두번째진입,t,12,SphereQuest,3,0,,10,f,f
15,Q63_위험한모래톱,t,15,SphereQuest,3,0,,2,f,f
18,Q604_하피마녀의둥지_세번째진입,t,18,SphereQuest,3,0,,10,f,f
21,Q202_유리구두를신은마리안_마리안의이동경로,t,21,SphereQuest,0,0,,1,f,f
25,Q954_전령_기억의터입구,t,25,SphereQuest,0,0,,1,f,f
28,수습생이 사라진 곳,t,28,SphereQuest,3,0,,1,f,f
33,마리아노플 전체,t,33,SphereQuest,2,0,,1,f,f
35,Q29_소란의원인_그위오니드호수,t,35,SphereQuest,0,0,,1,f,f
36,Q29_소란의원인_호수마을,t,36,SphereQuest,0,0,,1,f,f
38,Q65_바람의 목소리_길버트의 비밀 장소,t,38,SphereQuest,0,0,,1,f,f
39,Q65_바람의 목소리_거상 무덤 입구,t,39,SphereQuest,3,0,,1,f,f
40,Q67_거상의 불편한 심기_거상 내부1,t,40,SphereQuest,0,0,,1,f,f
41,Q67_거상의 불편한 심기_거상 내부2,t,41,SphereQuest,0,0,,1,f,f
42,Q67_거상의 불편한 심기_거상 내부3,t,42,SphereQuest,0,0,,1,f,f
43,Q67_거상의 불편한 심기_거상 내부4,t,43,SphereQuest,0,0,,1,f,f
44,Q35_영매_환영술사익사체소환,t,44,SphereQuest,0,0,,1,f,f
55,Q168_린노르예트_린이동영역,t,55,SphereQuest,0,0,,1,f,f
56,Q273_르네의반지_호수도착,t,56,SphereQuest,3,0,,1,f,f
61,Q75_이온씨족의자객_퀘스트수락,t,61,SphereQuest,0,0,,1,f,f
62,Q75_이온씨족의자객_자객스폰,t,62,SphereQuest,0,0,,1,f,f
63,Q75_이온씨족의자객_자객스폰2,t,63,SphereQuest,0,0,,1,f,f
67,Q291_고소공포증_성벽잠입,t,67,SphereQuest,0,0,,1,f,f
68,Q291_고소공포증_브릿짓구출완료,t,68,SphereQuest,0,0,,1,f,f
70,Q224_본거지소탕_다후타추종자기지,t,70,SphereQuest,0,0,,1,f,f
75,Q256_고집쟁이제니_퀘스트완료,t,75,SphereQuest,3,0,,1,f,f
77,Q252_숲을되살려야합니다_나무심기영역,t,77,SphereQuest,0,0,,1,f,f
78,Q295_요정의숲_요정릴리안소환지역,t,78,SphereQuest,0,0,,1,f,f
79,Q263_흩어진안개_물약사용지역,t,79,SphereQuest,3,0,,1,f,f
81,Q329_발소리의정체_퀘스트시작,t,81,SphereQuest,0,0,,1,f,f
82,Q115_후송대열_몹스폰1,t,82,SphereQuest,3,0,,1,f,f
83,Q115_후송대열_몹스폰2,t,83,SphereQuest,3,0,,1,f,f
84,하얀 숲 서부 안전지대,t,84,SphereQuest,3,0,,1,f,f
85,Q103_우두머리를 찾아서_목격자의 길,t,85,SphereQuest,0,0,,1,f,f
87,Q119_반지의주인_자작나무마을입장,t,87,SphereQuest,3,0,,1,f,f
88,Q121_잡화상인오코너_프랭크가있는곳,t,88,SphereQuest,3,0,,1,f,f
89,Q123_약혼자에대한추억_추억이어린장소1,t,89,SphereQuest,0,0,,1,f,f
90,Q123_약혼자에대한추억_추억이어린장소2,t,90,SphereQuest,0,0,,1,f,f
91,Q123_약혼자에대한추억_추억이어린장소3,t,91,SphereQuest,0,0,,1,f,f
92,Q124_상실과위로_추억이어린장소,t,92,SphereQuest,0,0,,1,f,f
93,Q136_겁에질린수습생_자이라본진,t,93,SphereQuest,0,0,,1,f,f
94,Q329_집으로_화난늑대소환장소,t,94,SphereQuest,0,0,,1,f,f
95,Q155_온전한푸른수정_코볼트피난민,t,95,SphereQuest,3,0,,1,f,f
99,Q159_트롤!!!_트롤의흔적,t,99,SphereQuest,2,0,,1,t,f
101,Q41_정령이지키고있는것?,t,101,SphereQuest,3,0,,1,f,f
102,Q348_넝쿨을타고올라보세요_넝쿨앞,t,102,SphereQuest,0,0,,1,f,f
103,Q348_넝쿨을타고올라보세요_넝쿨위,t,103,SphereQuest,0,0,,1,f,f
106,Q255_제니의소원_퀘스트완료,t,106,SphereQuest,0,0,,1,f,f
107,Q348_넝쿨을타고올라보세요_넝쿨종료,t,107,SphereQuest,0,0,,1,f,f
108,Q13_고블린의습격_고블린스폰1,t,108,SphereQuest,0,0,,1,f,f
109,Q13_고블린의습격_고블린스폰2,t,109,SphereQuest,0,0,,1,f,f
