id,idx,name,x,y,w,h,image_map,linked_zone_group_id,parent_sub_zone_id,category_id,sound_id,sound_pack_id
1,1,노래의 언덕,0.0,0.0,0.0,0.0,0,0,0,9,,
2,2,하르파 수련장,0.0,0.0,0.0,0.0,0,0,0,9,,0
3,3,달리는 골짜기,0.0,0.0,0.0,0.0,0,0,0,9,,0
4,4,숲의 인도자,0.0,0.0,0.0,0.0,0,0,0,9,,183
5,5,금지된 유적지,0.0,0.0,0.0,0.0,0,0,0,9,,0
6,6,영매의 거처,0.0,0.0,0.0,0.0,0,0,0,9,,0
8,8,다후타 교단 점령지,0.0,0.0,0.0,0.0,0,0,0,9,,0
9,9,불모지,0.0,0.0,0.0,0.0,0,0,0,9,,0
10,10,방황하는 숲,0.0,0.0,0.0,0.0,0,0,0,9,,0
11,11,그위오니드 호수,0.0,0.0,0.0,0.0,0,0,0,9,0,0
12,12,호숫가 마을,0.0,0.0,0.0,0.0,0,0,0,9,,183
13,13,숲의 주인,0.0,0.0,0.0,0.0,0,0,0,9,,0
14,14,기억의 터,10221.559322,14592.0,765.2881356,459.6610169,0,1,0,9,,
15,15,영혼의 안식처,0.0,0.0,0.0,0.0,0,0,0,9,0,0
16,16,바람의 폐허,0.0,0.0,0.0,0.0,0,0,0,9,,
17,17,침묵하는 숲,0.0,0.0,0.0,0.0,0,0,0,9,0,0
18,18,가시덩굴 숲,0.0,0.0,0.0,0.0,0,0,0,9,0,0
19,19,장례 언덕,0.0,0.0,0.0,0.0,0,0,0,9,,0
20,20,그위오니드 수호자의 야영지,0.0,0.0,0.0,0.0,0,0,0,9,0,0
21,21,환상 습지대,0.0,0.0,0.0,0.0,0,0,0,9,,0
22,22,희생제 제단,0.0,0.0,0.0,0.0,0,0,0,9,,0
23,23,부서진 신전,0.0,0.0,0.0,0.0,0,0,0,9,,0
24,24,유적 중심부,0.0,0.0,0.0,0.0,0,0,0,9,,0
25,25,페피의 숲,0.0,0.0,0.0,0.0,0,0,0,9,,0
26,26,광신도의 은신처,0.0,0.0,0.0,0.0,0,0,0,9,,0
27,27,황금 실타래 벌판,0.0,0.0,0.0,0.0,0,0,0,10,0,0
28,28,토리니 정원,0.0,0.0,0.0,0.0,0,0,0,10,0,0
29,29,마리아노플 농장,0.0,0.0,0.0,0.0,0,0,0,10,0,0
30,30,주거지역,0.0,0.0,0.0,0.0,0,0,0,10,,208
31,31,주거지역,0.0,0.0,0.0,0.0,0,0,0,10,,208
