id,tag_id,buff_id
3,7,232
4,7,233
5,7,236
6,8,237
7,8,238
8,11,206
9,10,168
10,12,156
11,13,87
12,10,96
13,10,253
15,14,197
16,14,196
17,14,325
18,27,82
19,6,243
20,6,270
21,6,335
22,27,336
23,36,242
24,36,49
25,10,343
26,14,146
27,11,390
28,14,391
29,14,394
30,97,173
31,12,407
32,98,413
33,6,416
34,99,257
35,99,245
36,100,169
38,6,420
39,101,397
40,101,421
42,99,266
43,14,438
44,13,439
45,10,473
46,103,166
47,101,475
48,101,476
49,104,250
51,14,485
52,10,497
53,98,497
54,106,156
55,106,173
56,106,414
57,6,503
58,97,84
59,107,141
60,108,127
64,105,206
65,105,257
66,105,245
67,105,266
68,105,511
69,112,515
70,111,514
71,113,516
72,114,517
73,107,518
74,107,21
75,115,242
76,36,514
77,36,515
78,36,516
79,36,517
81,12,520
82,106,520
83,10,524
84,10,525
85,10,526
86,10,527
87,117,535
88,10,537
90,116,542
92,97,547
93,106,547
94,100,557
95,100,259
96,10,562
97,98,562
99,119,246
100,119,166
102,120,248
104,10,576
105,122,578
106,124,579
107,125,582
108,104,583
109,126,502
110,126,171
113,129,593
114,100,599
115,100,600
116,100,601
117,130,116
119,97,603
120,97,523
121,131,436
122,98,613
123,132,415
124,129,617
125,6,627
126,12,628
127,106,628
129,136,18
130,122,578
131,126,633
132,98,634
133,138,635
134,137,592
135,139,615
136,145,716
137,145,715
138,145,714
139,145,713
140,145,717
141,146,584
143,148,550
144,149,723
145,149,724
146,150,551
148,140,735
149,100,738
150,145,740
151,10,743
154,6,762
155,143,765
156,107,769
157,155,771
158,104,790
164,158,808
166,6,809
167,160,240
168,160,82
170,148,815
171,148,816
172,148,817
174,126,827
175,161,763
176,160,763
179,160,754
180,27,754
182,160,752
183,27,752
185,142,833
186,142,834
187,142,835
188,10,746
189,129,837
190,158,840
191,10,842
192,10,844
193,146,846
194,126,862
196,165,870
198,27,883
200,166,886
201,167,890
202,100,896
203,143,897
204,168,669
206,148,610
207,27,912
208,6,913
210,6,925
211,170,927
212,161,930
213,160,930
214,27,930
219,14,939
223,159,947
224,173,952
227,174,957
228,174,958
229,174,959
230,174,960
231,175,940
232,167,973
233,12,975
234,106,975
236,156,875
239,178,989
240,167,891
242,179,1006
243,129,1009
244,1,1013
245,12,1015
246,106,1015
248,36,1021
249,142,1024
250,181,1026
251,182,1031
252,182,1032
253,183,1033
254,148,1033
255,183,1036
256,148,1042
257,12,1048
258,106,1048
260,6,1049
261,14,1058
262,156,1060
265,27,1064
266,160,1064
267,126,1066
268,186,1071
269,107,138
272,12,756
274,106,756
275,12,1075
276,107,13
278,107,1081
279,14,1082
280,14,1083
281,97,1085
282,106,1085
283,10,1088
284,100,1089
285,189,1090
286,201,760
287,126,1119
288,97,1123
289,203,1131
290,187,1078
291,160,1138
292,206,970
293,202,1017
294,97,1139
295,184,1034
296,6,1143
297,136,1143
298,207,1142
299,13,1148
301,159,1148
303,189,1158
305,208,1144
306,10,1169
307,99,1177
308,105,1177
309,12,1178
310,106,1178
312,126,1193
313,211,1198
314,12,1200
315,106,1200
317,212,1187
318,6,1208
319,147,1209
320,119,1216
321,123,577
322,213,1218
324,122,1220
325,214,1206
326,1,1221
327,104,1223
328,1,1224
329,215,1226
330,215,824
331,215,551
333,119,435
334,121,250
336,213,1237
338,216,141
339,216,443
341,216,138
342,216,240
343,216,824
344,216,82
345,216,114
346,216,96
347,216,156
348,216,807
349,216,101
350,216,975
351,216,603
352,216,449
353,216,501
354,216,505
355,216,206
356,216,828
358,216,171
359,216,607
361,216,84
362,216,87
363,216,128
364,216,509
365,216,883
366,216,21
367,216,257
368,216,243
369,216,518
370,160,94
371,160,96
373,216,1241
374,216,93
375,216,758
376,216,407
377,216,762
378,216,752
379,216,173
380,216,270
381,216,7
382,216,756
383,216,1178
384,216,547
385,216,392
386,216,245
387,216,54
388,216,439
389,160,1259
390,1,1260
391,107,408
392,126,1287
393,12,1289
394,106,1289
396,6,1290
398,7,1292
399,7,1294
402,7,1308
403,122,1311
404,107,1317
405,216,1317
406,107,1318
407,216,1318
408,119,1319
409,216,1323
410,160,1323
411,6,1324
415,7,1327
416,218,1053
418,7,1330
419,7,1331
420,7,1332
421,7,1333
422,7,1334
423,210,1022
424,219,607
425,126,1343
426,107,7
428,185,1347
429,221,1348
430,156,1351
431,7,1352
432,10,1356
433,216,1363
434,216,1366
435,222,1368
436,222,1369
437,122,1377
438,161,240
439,223,1378
440,14,1379
442,7,1381
443,7,1382
444,7,1383
445,107,1387
446,216,1387
447,7,1393
448,7,1394
449,7,1395
450,7,1396
451,7,1397
452,7,1398
453,228,1401
454,119,1403
455,119,13
456,227,1384
457,229,745
458,229,854
459,229,855
460,229,856
461,229,857
463,208,744
464,230,507
465,231,468
466,232,328
467,232,329
468,232,330
470,187,1432
471,224,1433
472,137,1438
475,234,1447
476,14,1448
477,159,1449
478,216,1449
479,216,1451
481,214,1436
482,10,1452
484,156,1454
485,239,1459
486,239,742
487,167,1465
488,167,1466
489,239,741
490,239,1410
493,239,1472
494,240,1250
495,239,1457
496,126,1483
497,215,1484
498,216,1484
499,129,1485
500,239,1412
501,241,1487
502,239,1406
503,239,1407
504,239,1430
505,228,1497
506,123,1498
507,246,1498
508,122,1499
509,248,1501
510,239,1416
511,239,1509
512,228,1515
513,228,1516
514,239,1518
515,239,1519
516,10,1520
517,250,641
518,250,1523
519,239,1524
520,216,1525
521,252,1503
522,239,1530
523,156,584
524,256,1533
526,160,1535
527,27,1535
528,257,1536
529,239,1538
530,216,1541
531,258,1548
532,143,1557
533,27,1559
534,158,1560
535,6,1561
539,239,1570
540,187,1573
541,261,1575
542,122,1577
543,10,1580
544,99,1581
545,105,1581
546,216,1581
547,99,1582
548,105,1582
549,216,1582
550,262,1585
551,263,1590
552,264,1595
553,6,1596
554,271,1606
555,266,1604
556,158,1605
557,10,1605
558,36,1605
559,6,1605
560,166,1605
561,159,1605
562,14,1605
563,120,1605
564,13,1605
565,104,1605
566,119,1605
567,12,1605
569,266,1602
570,274,1616
571,272,1614
572,273,1615
573,275,1615
574,275,1616
575,275,1616
576,119,1618
577,264,1619
578,276,1620
579,27,1623
580,160,1623
581,216,1623
582,104,922
583,36,1627
584,115,1627
585,276,1631
586,281,1634
587,126,1636
588,216,1636
589,215,1641
590,216,1641
591,215,1642
592,216,1642
593,100,1652
594,285,1649
595,285,1656
596,100,1664
597,287,1676
598,232,1680
599,100,1678
600,107,1688
601,216,1688
605,216,1690
608,161,1701
609,160,1701
611,264,1707
612,13,1708
614,216,1708
616,158,1710
617,6,1711
620,7,1716
621,7,1719
622,290,1667
623,286,1521
624,286,1686
625,286,1720
626,14,1727
627,286,1699
628,27,1699
629,122,1730
630,264,1731
631,286,1733
632,136,1738
633,120,1743
634,216,1743
635,291,1749
636,286,1752
637,160,1755
638,216,1755
639,161,1755
640,143,1756
642,292,256
643,126,1764
644,119,1767
647,294,1029
648,294,1458
649,294,1460
650,294,1461
651,294,1463
652,107,1771
653,216,1771
654,216,1772
655,6,1773
656,216,1773
657,126,1778
658,160,1781
659,216,1781
660,161,1781
