id,tag_id,npc_id
1,224,5037
2,224,5089
3,233,5072
4,235,3599
5,235,5430
6,235,5431
7,235,5432
8,235,5433
9,235,5434
10,235,5435
11,235,4944
12,235,7043
13,235,7044
14,235,7110
15,235,7111
16,235,7087
17,236,7184
18,237,7183
19,12,5000
20,13,5001
21,238,7184
22,239,7280
23,240,6442
24,242,2424
25,243,2443
26,249,2444
27,233,7277
28,251,4968
29,239,5028
30,254,2387
31,255,2390
32,253,2422
33,259,4981
34,240,6443
35,240,6444
36,240,6445
37,240,6446
38,240,6447
39,240,7057
40,240,5985
41,240,5984
43,240,2522
44,240,5983
45,277,7680
46,279,7679
47,277,7680
48,280,7681
49,278,7678
50,282,506
51,282,507
52,282,508
53,235,504
54,278,7689
55,278,7720
56,278,1196
57,277,7721
58,280,7722
59,283,7724
60,277,7725
61,280,7726
62,283,7727
63,278,1173
64,278,3385
65,279,3386
66,280,3387
67,283,3388
68,278,3389
69,278,3389
70,277,3390
71,279,3411
72,280,3414
73,283,3415
74,278,3416
75,277,5728
76,277,6572
77,240,7606
78,240,7607
80,289,7831
81,278,5716
82,278,2456
83,278,2447
85,278,2241
86,277,2238
87,277,2251
88,277,2448
89,277,2459
90,279,2237
91,279,2250
92,279,2449
93,279,2455
94,280,2242
95,280,2451
96,280,2463
97,283,2243
99,283,2452
100,283,2464
101,240,7608
102,279,684
103,279,694
104,279,864
105,279,1182
106,279,1183
107,279,1502
108,279,1503
109,279,1525
110,279,1534
111,279,1541
112,279,1545
113,279,1670
114,279,1811
115,279,1889
116,279,2162
117,279,2186
118,279,2275
119,279,2292
120,279,2593
121,279,2594
122,279,2746
123,279,2753
124,279,3037
125,279,3583
126,279,4572
127,279,4591
128,279,4742
129,279,4793
130,279,4880
131,279,4892
132,279,4895
133,279,5094
134,279,5104
136,279,5336
137,279,5358
138,279,5367
139,279,5373
140,279,5384
141,279,5414
142,279,5415
143,279,5611
144,279,5613
145,279,6016
146,279,6022
147,279,6028
148,279,6034
149,279,6040
150,279,7076
151,279,7082
152,279,7120
153,279,7145
154,279,7147
155,279,7163
156,279,7168
157,279,7366
158,279,7367
159,279,7742
160,279,7946
161,278,515
162,278,761
163,278,859
164,278,975
165,278,1045
166,278,1192
167,278,1193
168,278,1194
169,278,1195
170,278,1322
171,278,1390
172,278,1501
173,278,1524
174,278,1540
175,278,1810
176,278,2079
177,278,2090
178,278,2096
179,278,2285
180,278,2291
181,278,2389
182,278,2479
183,278,2606
184,278,2607
185,278,2608
186,278,2609
187,278,2610
188,278,2616
189,278,2738
190,278,2750
191,278,3038
192,278,3046
193,278,3263
194,278,3267
195,278,3268
196,278,3269
197,278,3271
198,278,3551
199,278,3579
200,278,4230
201,278,4233
202,278,4244
203,278,4249
204,278,4255
205,278,4644
206,278,4662
207,278,4663
208,278,4746
209,278,4881
210,278,4891
211,278,4896
212,278,5100
213,278,5103
214,278,5107
215,278,5335
216,278,5340
217,278,5345
218,278,5350
219,278,5355
220,278,5357
221,278,5368
222,278,5372
223,278,5379
224,278,5390
225,278,5407
226,278,5426
227,278,5427
228,278,5428
229,278,5716
230,278,5766
231,278,7021
232,278,7080
