id,tag_id,skill_id
1,7,10580
2,7,10582
3,7,10588
4,8,10589
5,8,10590
6,9,10583
7,9,10577
8,9,10586
9,9,10587
10,9,10576
12,1,10534
13,1,10720
14,1,10741
15,1,10742
16,1,10743
17,1,10744
18,1,10745
19,1,10746
20,1,10748
21,7,10001
22,15,10581
23,16,10894
24,16,10895
25,17,10896
26,17,10897
27,17,10898
28,18,10900
29,18,10901
30,19,10903
31,19,10904
32,19,10905
33,19,10906
34,19,10907
35,19,10908
36,20,10909
37,20,10910
38,20,10911
39,20,10912
40,20,10913
41,20,10914
42,21,10915
43,21,10916
44,21,10919
45,21,10918
46,21,10917
47,21,10920
48,22,10921
49,22,10922
50,22,10923
51,22,10924
52,22,10925
53,22,10926
54,23,10927
55,23,10928
56,23,10929
57,23,10930
58,23,10931
59,23,10932
60,24,10933
61,24,10934
62,24,10935
63,24,10936
64,24,10937
65,24,10938
66,25,10940
67,25,10939
68,25,10941
69,25,10942
70,25,10943
71,25,10944
72,26,10945
73,26,10946
74,26,10947
75,26,10948
76,26,10949
77,26,10950
78,1,10961
79,10,10648
80,1,10979
82,30,10888
83,31,10889
84,32,10890
85,33,10891
86,35,10893
87,34,10892
92,1,11020
93,1,11040
94,55,11049
96,1,11056
97,58,11190
99,55,11307
100,10,11327
101,10,11328
102,10,11372
103,109,10481
106,109,10699
107,110,11325
108,109,4
109,1,11438
110,1,11465
111,122,11534
112,1,11593
113,14,11035
114,1,11649
115,1,11678
116,137,11628
117,30,11715
118,33,11716
119,144,11717
120,30,11718
121,33,11719
122,144,11720
123,30,11722
124,144,11723
125,33,11724
126,30,11725
127,33,11726
128,144,11727
129,30,11728
130,33,11729
131,144,11730
133,33,11732
134,144,11733
135,30,11734
136,33,11735
137,144,11736
138,30,11737
139,33,11738
140,144,11739
141,30,11740
142,33,11741
143,144,11742
144,30,11743
145,33,11744
146,144,11745
147,9,11786
148,9,11792
149,9,11793
150,9,11794
151,9,11795
152,9,11796
153,9,11797
154,9,11798
155,9,11799
156,9,11800
157,9,11801
158,9,11802
159,9,11803
160,9,11804
161,9,11805
162,9,11806
