id,name,desc
1,치유,치유 마법
6,기절,스턴 상태이며 서있는 경우
7,물약,물약사용
8,버프요리,버프 음식
9,일반요리,물약기능
10,띄워짐,띄워져 있는 상태
11,물리 기술 봉쇄,"근접 기술, 원거리 기술 불가 상태"
12,공포,공포에 빠진 상태
13,창,"지옥의 창, 심판의 창에 꽂힌 대상"
14,독상태,독에 걸린 상태
15,물리회복약품,체력을 회복하는 약품
16,정신회복약품,기력을 회복하는 약품
17,향상약품,능력을 향상시키는 약품
18,내성약품,내성을 기르는 약품
19,체력요리,총체력을 상승시킨다
20,기력요리,총기력을 상승시킨다
21,체력회복요리,체력회복량을 상승시킨다
22,기력회복요리,기력회복량을 상승시킨다
23,방어요리,방어력을 상승시킨다
24,근접공격력요리,근접공격력을 상승시킨다
25,원거리공격력요리,원거리공격력을 상승시킨다
26,기술공격력요리,기술공격력을 상승시킨다
27,발묶임,루트 상태
28,띄우기면역,띄우기 효과에 면역되는 상태
29,소환수 장비,"탑승, 전투 소환수가 입는 장비 태그"
30,치유 물약,즉시 치유하는 물약
31,생명력회복4급,생명력회복4급
32,생명력회복3급,생명력회복3급
33,명상 물약,즉시 활력을 회복하는 물약
34,마나회복4급,마나회복4급
35,마나회복3급,마나회복3급
36,출혈(전체),출혈로 인한 지속 피해
41,132_skill_독 화살,132_skill_독 화살
42,132_skill_암습,132_skill_암습
43,133_skill_쳐올리기,133_skill_쳐올리기
44,133_skill_대지가르기,133_skill_대지가르기
45,133_skill_방패 휘두르기,133_skill_방패 휘두르기
46,141_skill_회오리베기,141_skill_회오리베기
47,142_skill_일격,142_skill_일격
48,142_skill_충격 화살,142_skill_충격 화살
49,143_skill_폭주,143_skill_폭주
50,143_skill_전투의 노래,143_skill_전투의 노래
51,144_skill_화살 소나기,144_skill_화살 소나기
52,231_skill_피로의 저주,231_skill_피로의 저주
53,231_skill_염동력,231_skill_염동력
54,231_skill_광역 침묵,231_skill_광역 침묵
55,232_skill_정신붕괴,232_skill_정신붕괴
56,232_skill_공포,232_skill_공포
57,232_skill_지옥의창,232_skill_지옥의창
58,233_skill_마나폭발,233_skill_마나폭발
59,233_skill_원혼 소환,233_skill_원혼 소환
60,233_skill_복수의 갑옷,233_skill_복수의 갑옷
61,241_skill_얼음화살,241_skill_얼음화살
62,242_skill_메테오,242_skill_메테오
63,242_skill_화염구,242_skill_화염구
64,243_skill_주문봉쇄,243_skill_주문봉쇄
65,243_skill_대지의 속박,243_skill_대지의 속박
66,244_skill_번개충격,244_skill_번개충격
67,331_skill_무적,331_skill_무적
68,331_skill_마나장막,331_skill_마나장막
69,331_skill_마나 보호막,331_skill_마나 보호막
70,332_skill_회복의 노래,332_skill_회복의 노래
71,332_skill_지속 치유,332_skill_지속 치유
72,332_skill_파티원 치유,332_skill_파티원 치유
73,333_skill_약초 치료,333_skill_약초 치료
74,333_skill_치유와 징벌,333_skill_치유와 징벌
75,333_skill_부활,333_skill_부활
76,341_skill_방어 태세,341_skill_방어 태세
77,342_skill_곰의 맷집,342_skill_곰의 맷집
78,342_skill_지능 향상,342_skill_지능 향상
79,343_skill_마법해제,343_skill_마법해제
80,343_skill_수면의 노래,343_skill_수면의 노래
81,344_skill_치유의 공간,344_skill_치유의 공간
82,431_skill_무중력 공간,431_skill_무중력 공간
83,431_skill_떠오르기,431_skill_떠오르기
