id,owner_id,owner_type,attach_point_id,transfer_id
1,30,Transfer,0,30
3,33,Transfer,30,3
13,38,Transfer,30,4
14,3,Transfer,30,4
15,40,Transfer,30,28
19,41,Transfer,30,46
23,44,Transfer,30,46
24,45,Transfer,30,46
25,10,Transfer,30,46
26,50,Transfer,30,46
27,49,Transfer,30,46
28,8,Transfer,30,46
29,6,Transfer,30,46
30,14,Transfer,30,46
31,5,Transfer,30,28
33,24,Transfer,2,46
34,23,Transfer,30,32
35,70,Transfer,30,46
36,72,Transfer,30,46
37,75,Transfer,30,46
38,81,Transfer,30,46
40,26,Transfer,30,42
41,27,Transfer,30,43
42,16,Transfer,30,46
43,13,Transfer,30,46
44,76,Transfer,30,46
45,86,Transfer,30,46
46,87,Transfer,30,46
47,88,Transfer,30,46
48,89,Transfer,30,46
49,90,Transfer,30,46
50,91,Transfer,30,46
51,92,Transfer,30,46
52,93,Transfer,30,46
53,94,Transfer,30,46
54,95,Transfer,30,46
55,78,Transfer,30,46
56,96,Transfer,30,46
57,77,Transfer,30,46
58,97,Transfer,30,46
59,98,Transfer,30,46
60,99,Transfer,30,46
61,100,Transfer,30,46
62,101,Transfer,30,46
63,102,Transfer,30,46
64,103,Transfer,30,46
65,104,Transfer,30,46
66,105,Transfer,30,46
67,106,Transfer,30,46
68,107,Transfer,30,46
69,108,Transfer,30,46
70,109,Transfer,30,46
71,120,Transfer,30,46
72,121,Transfer,30,122
73,123,Transfer,30,122
