id,formula,kind_id,owner_type_id
1,( dex * 10 ) * 100,1,0
2,(((str + spi) / 2 + 30 ) * 9 ) * 100,2,0
3,((dex + int) / 2 * 8 ) * 100,3,0
4,(str * 6 ) * 100,4,0
5,((str + sta) / 2 * 4.5 ) * 100,5,0
6,((dex + int) / 2 * 10 ) * 100,6,0
7,(((dex + spi) / 2 + 30 ) * 9 ) * 100,7,0
8,((dex + int) / 2 * 8 ) * 100,8,0
9,(str * 6 ) * 100,9,0
10,(int * 10 ) * 100,10,0
11,(((int + spi) / 2 + 30 ) * 9 ) * 100,11,0
12,(ab_level * 1.6 + 8) * 3,12,0
13,level_dps / (2 * (ab_level / 50) + 3),13,0
14,( level * 80 + sta * 8 ) + 100,14,0
15,level * 70 + int * 8 + 140,15,0
16,spi * 0.2 + 15,16,0
17,spi * 0.2 + 15,17,0
18,( dex * 4 * npc_kind ) * 100,1,1
19,((str + spi) / 2 * 10 ) * 100,2,1
20,((dex + int) / 2 * 1 ) * 100,3,1
21,(str * 0 ) * 100,4,1
22,((str + sta) / 2 * 0 ) * 100,5,1
23,((dex + int) / 2 * 4 ) * 100,6,1
24,((dex + spi) / 2 * 10 ) * 100,7,1
25,((dex + int) / 2 * 1 ) * 100,8,1
26,(str * 0 ) * 100,9,1
27,(int * 4 * npc_kind ) * 100,10,1
28,((int + spi) / 2 * 10 ) * 100,11,1
29,( floor( ( ab_level + 2 ) / 3 ) * 24 - 8 ) * ( npc_template * npc_kind * npc_grade ),12,1
30,level_dps / ((ab_level / 50) + 1),13,1
31,( 2.5  * level^2 + 20 * level + (sta * 10 ) ) * ( npc_template * npc_kind * npc_grade ),14,1
32,(level * 20 + int * 10 + 130) * ( npc_kind * npc_grade ),15,1
33,spi * 0.1 + 15,16,1
34,spi * 0.07 + 15,17,1
35,( dex * 10 ) * 100,1,2
36,((str + spi) / 2 * 10 ) * 100,2,2
37,((dex + int) / 2 * 8 ) * 100,3,2
38,(str * 12 ) * 100,4,2
39,((str + sta) / 2 * 9 ) * 100,5,2
40,((dex + int) / 2 * 10 ) * 100,6,2
41,((dex + spi) / 2 * 10 ) * 100,7,2
42,((dex + int) / 2 * 8 ) * 100,8,2
43,(str * 12 ) * 100,9,2
44,(int * 10 ) * 100,10,2
45,((int + spi) / 2 * 10 ) * 100,11,2
46,(ab_level + 1) ^ 1.2 + 5,12,2
47,level_dps / ((ab_level / 50) + 3),13,2
48,level * 30 + sta * 10,14,2
49,level * 20 + int * 10,15,2
50,20,16,2
51,spi * 0.1 + 9,17,2
52,( dex * 10 ) * 100,1,3
53,((str + spi) / 2 * 10 ) * 100,2,3
54,((dex + int) / 2 * 8 ) * 100,3,3
55,(str * 12 ) * 100,4,3
56,((str + sta) / 2 * 9 ) * 100,5,3
57,((dex + int) / 2 * 10 ) * 100,6,3
58,((dex + spi) / 2 * 10 ) * 100,7,3
59,((dex + int) / 2 * 8 ) * 100,8,3
60,(str * 12 ) * 100,9,3
61,(int * 10 ) * 100,10,3
62,((int + spi) / 2 * 10 ) * 100,11,3
63,(ab_level + 1) ^ 1.2 + 5,12,3
64,level_dps / ((ab_level / 50) + 3),13,3
65,level * 30 + sta * 10,14,3
66,level * 20 + int * 10,15,3
67,0,16,3
68,spi * 0.1 + 9,17,3
69,( dex * 10 ) * 100,1,4
70,((str + spi) / 2 * 10 ) * 100,2,4
71,((dex + int) / 2 * 8 ) * 100,3,4
72,(str * 12 ) * 100,4,4
73,((str + sta) / 2 * 9 ) * 100,5,4
74,((dex + int) / 2 * 10 ) * 100,6,4
75,((dex + spi) / 2 * 10 ) * 100,7,4
76,((dex + int) / 2 * 8 ) * 100,8,4
77,(str * 12 ) * 100,9,4
78,(int * 10 ) * 100,10,4
79,((int + spi) / 2 * 10 ) * 100,11,4
80,(ab_level + 1) ^ 1.2 + 5,12,4
81,level_dps / ((ab_level / 50) + 3),13,4
82,level * 30 + sta * 10,14,4
83,level * 20 + int * 10,15,4
84,spi * 0.2 * 1.0 + 8,16,4
85,spi * 0.1 + 9,17,4
86,( dex * 10 ) * 100,1,5
87,(((str + spi) / 2 + 30 ) * 9 ) * 100,2,5
88,((dex + int) / 2 * 8 ) * 100,3,5
89,(str * 6 ) * 100,4,5
90,((str + sta) / 2 * 4.5 ) * 100,5,5
91,((dex + int) / 2 * 10 ) * 100,6,5
92,(((dex + spi) / 2 + 30 ) * 9 ) * 100,7,5
93,((dex + int) / 2 * 8 ) * 100,8,5
94,(str * 6 ) * 100,9,5
95,(int * 10 ) * 100,10,5
96,(((int + spi) / 2 + 30 ) * 9 ) * 100,11,5
97,(ab_level * 1.6 + 8) * 3,12,5
98,level_dps / ((ab_level / 50) + 3),13,5
99,(level * 70 + sta * 10) * mate_kind,14,5
100,level * 15 + int * 10 * mate_kind,15,5
101,spi * 0.1 + 7,16,5
102,spi * 0.07 + 7,17,5
103,0,18,0
104,( 935 / 50 * level ) * ( npc_template * npc_kind * npc_grade ),18,1
105,0,18,2
106,0,18,3
107,0,18,4
108,0,18,5
109,spi * 4,19,0
110,( 935 / 50 * level ) * ( npc_template * npc_kind * npc_grade ),19,1
111,0,19,2
112,0,19,3
113,0,19,4
114,spi * 2,19,5
115,((level ^ 1.3 + level * 3 + 17) * 100 ) * 100,20,0
116,((level ^ 1.3 + level * 3 + 17) * 100 ) * 100,20,1
117,((level ^ 1.3 + level * 3 + 17) * 100 ) * 100,20,2
118,((level ^ 1.3 + level * 3 + 17) * 100 ) * 100,20,3
119,((level ^ 1.3 + level * 3 + 17) * 100 ) * 100,20,4
120,((level ^ 1.3 + level * 3 + 17) * 100 ) * 100,20,5
121,str * 100,21,0
122,( ( floor( ( level + 2 ) / 3 ) * 12 + 1 ) + ( str * 0.1 ) - 5 ) * 1000 * ( npc_template * npc_kind * npc_grade ),21,1
123,str * 50,21,2
124,str * 50,21,3
125,str * 50,21,4
126,(( level *2 + 8 ) + ( str * 0.1 ) ) * 1000,21,5
127,"10 + (level - 1) * 2 + if_negative( level - 51, 0, ( level - 50 ) * 8 )",22,0
128,( level * 4 + 10 ) * npc_template,22,1
129,10 + (level - 1) * 2,22,2
130,10 + (level - 1) * 2,22,3
131,10 + (level - 1) * 2,22,4
132,10 + (level - 1) * 4,22,5
133,"10 + (level - 1) * 2 + if_negative( level - 51, 0, ( level - 50 ) * 8 )",23,0
134,( level * 4 + 10 ) * npc_template,23,1
135,10 + (level - 1) * 2,23,2
136,10 + (level - 1) * 2,23,3
137,10 + (level - 1) * 2,23,4
138,10 + (level - 1) * 4,23,5
139,"10 + (level - 1) * 2 + if_negative( level - 51, 0, ( level - 50 ) * 8 )",24,0
140,( level * 4 + 10 ) * npc_template,24,1
141,10 + (level - 1) * 2,24,2
142,10 + (level - 1) * 2,24,3
143,10 + (level - 1) * 2,24,4
144,10 + (level - 1) * 4,24,5
145,"10 + (level - 1) * 2 + if_negative( level - 51, 0, ( level - 50 ) * 8 )",25,0
146,( level * 4 + 10 ) * npc_template,25,1
147,10 + (level - 1) * 2,25,2
148,10 + (level - 1) * 2,25,3
149,10 + (level - 1) * 2,25,4
150,10 + (level - 1) * 4,25,5
151,"10 + (level - 1) * 2 + if_negative( level - 51, 0, ( level - 50 ) * 8 )",26,0
152,( level * 4 + 10 ) * npc_template,26,1
153,10 + (level - 1) * 2,26,2
154,10 + (level - 1) * 2,26,3
155,10 + (level - 1) * 2,26,4
156,10 + (level - 1) * 4,26,5
157,10 + (level - 1) * 2,27,0
158,11,27,1
159,10 + (level - 1) * 2,27,2
160,10 + (level - 1) * 2,27,3
161,10 + (level - 1) * 2,27,4
162,10 + (level - 1) * 4,27,5
163,dex * 100,28,0
164,( ( floor( ( level + 2 ) / 3 ) * 12 + 1 ) + ( dex * 0.1 ) - 5 ) * 1000 * ( npc_template * npc_kind * npc_grade ),28,1
165,0,28,2
166,0,28,3
167,0,28,4
168,(( level *2 + 8 ) + ( dex * 0.1 ) ) * 1000,28,5
169,int * 100,29,0
170,( ( floor( ( level + 2 ) / 3 ) * 12 + 1 ) + ( int * 0.1 ) - 5 ) * 1000 * ( npc_template * npc_kind * npc_grade ),29,1
171,0,29,2
172,0,29,3
173,0,29,4
174,(( level *2 + 8 ) + ( int * 0.1 ) ) * 1000,29,5
175,( dex * 10 ) * 100,1,6
176,((str + spi) / 2 * 10 ) * 100,2,6
177,((dex + int) / 2 * 8 ) * 100,3,6
178,(str * 12 ) * 100,4,6
179,((str + sta) / 2 * 9 ) * 100,5,6
180,((dex + int) / 2 * 10 ) * 100,6,6
181,((dex + spi) / 2 * 10 ) * 100,7,6
182,((dex + int) / 2 * 8 ) * 100,8,6
183,(str * 12 ) * 100,9,6
184,(int * 10 ) * 100,10,6
185,((int + spi) / 2 * 10 ) * 100,11,6
186,(ab_level + 1) ^ 1.2 + 5,12,6
187,level_dps / ((ab_level / 50) + 3),13,6
188,10000,14,6
189,0,15,6
190,0,16,6
191,0,17,6
192,30030,18,6
193,30030,19,6
194,((level ^ 1.3 + level * 3 + 17) * 100 ) * 100,20,6
195,str * 50,21,6
196,10 + (level - 1) * 2,22,6
197,10 + (level - 1) * 2,23,6
198,10 + (level - 1) * 2,24,6
199,10 + (level - 1) * 2,25,6
200,10 + (level - 1) * 2,26,6
201,10 + (level - 1) * 2,27,6
202,0,28,6
203,0,29,6
204,100,30,0
205,100,30,1
206,100,30,2
207,100,30,3
208,100,30,4
209,100,30,5
210,100,30,6
211,( spi * 0.1 ) * 5,31,0
212,0,31,1
213,0,31,2
214,0,31,3
215,0,31,4
216, ( spi * 0.1 ) * 2,31,5
217,0,31,6
218,( spi * 0.1 ) * 5,32,0
219,0,32,1
220,0,32,2
221,0,32,3
222,0,32,4
223, ( spi * 0.1 ) * 2,32,5
224,0,32,6
225,"clamp(10 + (10 * (level_diff - 4) / 16), 10, 20)",33,0
226,"clamp(10 + (50 * (level_diff - 4) / 16), 10, 60)",33,1
227,10,33,2
228,10,33,3
229,10,33,4
230,"clamp(10 + (10 * (level_diff - 4) / 16), 10, 20)",33,5
231,10,33,6
232,0,34,0
233,(level * 5 + 90) * npc_grade,34,1
234,0,34,2
235,0,34,3
236,0,34,4
237,0,34,5
238,0,34,6
239,200,35,0
240,200,35,1
241,200,35,2
242,200,35,3
243,200,35,4
244,200,35,5
245,200,35,6
246,175,36,0
247,175,36,1
248,175,36,2
249,175,36,3
250,175,36,4
251,175,36,5
252,175,36,6
253,150,37,0
254,150,37,1
255,150,37,2
256,150,37,3
257,150,37,4
258,150,37,5
259,150,37,6
260,0,38,0
261,0,38,1
262,0,38,2
263,0,38,3
264,0,38,4
265,0,38,5
266,0,38,6
