id,owner_id,owner_type,unit_attribute_id,unit_modifier_type_id,value,linear_level_bonus
7,15,Buff,8,0,400,0
8,15,Buff,6,0,800,0
14,26,Buff,20,1,50,0
23,34,Buff,8,0,2000,0
24,34,Buff,11,0,1000,0
29,48,Buff,10,0,-50,0
31,54,Buff,10,0,-70,0
37,17,Item,0,0,1,0
38,17,Item,2,0,2,0
101,34,Item,6,0,100,0
102,34,Item,7,0,100,0
295,74,Buff,56,0,-500,0
296,74,Buff,11,1,-50,0
297,75,Buff,36,1,-30,0
298,77,Buff,0,0,-61,0
347,89,ItemArmor,8,0,133,0
348,89,ItemArmor,2,0,2,0
349,89,ItemArmor,3,0,1,0
376,354,Item,6,0,30,0
377,354,Item,7,0,30,0
467,81,Buff,10,0,-30,0
494,90,Buff,8,0,116,0
495,90,Buff,3,0,20,0
498,92,Buff,10,0,-35,0
501,100,Buff,3,0,36,0
503,104,Buff,4,0,-42,0
504,105,Buff,4,0,82,0
505,106,Buff,38,0,5,0
506,106,Buff,37,0,5,0
508,109,Buff,4,0,6,0
585,110,Buff,10,0,100,0
586,112,Buff,4,0,12,0
587,113,Buff,38,0,26,0
588,113,Buff,37,0,26,0
589,116,Buff,61,0,-90,0
591,118,Buff,8,0,32,0
595,125,Buff,11,1,200,0
604,129,Buff,8,0,-492,0
610,135,Buff,38,0,22,0
611,135,Buff,37,0,22,0
615,142,Buff,20,1,50,0
623,144,Buff,10,0,-50,0
637,148,Buff,10,0,-50,0
638,149,Buff,8,0,144,0
639,150,Buff,8,0,354,0
640,151,Buff,8,0,-1201,0
647,161,Buff,20,1,10,0
722,157,Buff,53,0,1000,0
740,185,Buff,14,1,100,0
741,186,Buff,14,1,10000,0
797,1156,Item,0,0,4,0
798,1156,Item,1,0,3,0
799,1156,Item,4,0,3,0
859,9,Slave,2,0,1237,0
865,12,Slave,2,0,10000,0
866,12,Slave,8,0,20000,0
867,10,Slave,8,0,21200,0
894,207,Buff,59,1,5,0
904,210,Buff,10,0,100,0
958,510,Item,0,0,1,0
960,15,Slave,6,0,1420,0
961,9,Slave,8,0,21000,0
962,14,Slave,8,0,2000000,0
963,15,Slave,10,0,100,0
964,16,Slave,2,0,787,0
965,16,Slave,8,0,30000,0
971,17,Slave,2,0,187,0
972,17,Slave,8,0,4160,0
977,18,Slave,2,0,787,0
978,18,Slave,8,0,30000,0
981,38,Npc,10,0,100,0
983,1,Npc,10,0,30,0
1035,1214,Item,1,0,4,0
1097,1223,Item,2,0,3,0
1101,1225,Item,3,0,4,0
1102,1225,Item,4,0,4,0
1133,1171,Item,8,0,8000,0
1134,1171,Item,2,0,500,0
1135,1171,Item,22,1,100,0
1136,1171,Item,21,1,100,0
1137,1171,Item,20,1,100,0
1138,213,Buff,2,0,15,0
1139,214,Buff,2,0,34,0
1140,215,Buff,2,0,55,0
1141,227,Buff,0,0,15,0
1142,228,Buff,0,0,39,0
1143,229,Buff,58,0,-50,0
1144,230,Buff,58,0,-100,0
1215,237,Buff,2,0,4,0
1216,238,Buff,0,0,4,0
1247,396,Npc,51,0,-500,0
1253,421,Npc,54,0,-500,0
