id,owner_id,owner_type,kind_id,value1,value2
392,10120,Skill,19,8,0
393,10121,Skill,19,9,0
2226,10122,Skill,19,10,0
2227,10123,Skill,19,11,0
2230,10097,Skill,19,6,0
2258,10019,Skill,1,1,0
2259,10023,Skill,1,1,0
2261,10020,Skill,1,1,0
2262,10021,Skill,1,1,0
2263,8001,Skill,1,1,0
2275,10025,Skill,1,40,0
2276,10025,Skill,16,34,0
2277,10260,Skill,1,8,0
2287,10100,Skill,19,4,0
2289,66,ItemWeapon,1,17,0
2300,10099,Skill,19,3,0
2305,7001,Skill,1,1,0
2306,10026,Skill,1,1,0
2307,10003,Skill,1,1,0
2308,10027,Skill,1,1,0
2591,10514,Skill,1,1,0
2604,10513,Skill,1,1,0
2624,10518,Skill,1,1,0
2727,10002,Skill,1,1,0
2768,10582,Skill,1,1,0
2793,10090,Skill,1,12,0
2794,10090,Skill,8,15,0
2813,10088,Skill,1,10,0
2814,10088,Skill,8,15,0
2858,10585,Skill,20,44,0
2862,10588,Skill,1,1,0
3850,10693,Skill,12,0,0
4134,10001,Skill,1,1,0
4224,10603,Skill,19,169,0
4701,10764,Skill,19,182,0
5275,11043,Skill,27,8,0
5309,11057,Skill,20,2,0
6343,651,QuestComponent,1,2,0
6344,691,QuestComponent,1,2,0
6345,695,QuestComponent,31,254,0
6347,705,QuestComponent,31,255,0
6348,705,QuestComponent,1,2,0
6407,1358,QuestComponent,1,2,0
6408,1363,QuestComponent,31,324,0
6409,1363,QuestComponent,1,2,0
6750,522,QuestComponent,1,2,0
6751,522,QuestComponent,31,15,0
6917,11299,Skill,20,729,0
7226,11020,Skill,30,27,0
7288,10679,Skill,20,896,0
7291,10757,Skill,20,141,0
7299,11138,Skill,32,277,0
7328,11205,Skill,20,729,0
7339,11252,Skill,32,257,0
7340,11270,Skill,27,3599,0
7341,11271,Skill,31,256,0
7342,11272,Skill,20,669,0
7349,2357,QuestComponent,1,10,0
7378,2005,QuestComponent,31,523,0
7393,2056,QuestComponent,31,526,0
7576,10487,Skill,29,0,0
7647,2708,QuestComponent,1,23,0
8049,11448,Skill,32,784,0
8268,2939,QuestComponent,1,14,0
8307,3410,QuestComponent,1,16,0
8308,3415,QuestComponent,1,16,0
8309,3420,QuestComponent,1,16,0
9040,2048,QuestComponent,31,561,0
9074,11595,Skill,27,3598,0
9108,11598,Skill,32,367,0
9136,11592,Skill,30,132,0
9179,11612,Skill,20,334,5000
9404,4548,QuestComponent,1,18,0
9410,2027,QuestComponent,31,948,0
9411,2031,QuestComponent,31,948,0
9419,2215,QuestComponent,31,948,0
9674,11479,Skill,27,2964,0
9687,10624,Skill,34,61,0
9705,11553,Skill,35,140,1
9706,11557,Skill,35,139,1
9710,11376,Skill,35,166,1
9717,11593,Skill,27,4979,0
9767,11340,Skill,35,134,1
9872,11175,Skill,32,227,0
9873,11175,Skill,20,666,5000
9931,11667,Skill,29,1,0
10318,11925,Skill,26,1,50
10319,11925,Skill,27,4620,0
10320,11549,Skill,35,171,1
10348,11935,Skill,27,4753,0
10349,11935,Skill,27,4754,0
10350,11935,Skill,27,4755,0
10351,11936,Skill,27,4753,0
10352,11936,Skill,27,4754,0
10353,11936,Skill,27,4755,0
10354,11937,Skill,27,4753,0
10355,11937,Skill,27,4754,0
10356,11937,Skill,27,4755,0
10367,11940,Skill,26,1,50
10368,11940,Skill,27,4620,0
10382,5252,QuestComponent,1,7,0
10387,5276,QuestComponent,1,7,0
10394,5302,QuestComponent,1,7,0
10397,5298,QuestComponent,1,7,0
10415,5382,QuestComponent,1,8,0
10417,5392,QuestComponent,1,8,0
10422,5417,QuestComponent,1,8,0
10431,5468,QuestComponent,1,9,0
10437,5494,QuestComponent,1,10,0
10440,5502,QuestComponent,1,10,0
10444,5524,QuestComponent,31,1104,0
10471,11958,Skill,20,1418,1000000
10673,5562,QuestComponent,1,7,0
10883,6807,QuestComponent,31,1375,0
10886,6811,QuestComponent,31,1376,0
10898,6822,QuestComponent,31,1378,0
11099,12050,Skill,27,5806,0
11147,7030,QuestComponent,31,1401,0
11148,7044,QuestComponent,31,1404,0
11154,7054,QuestComponent,31,1484,0
11264,11974,Skill,26,1,50
11289,5355,QuestComponent,1,8,0
11325,4840,QuestComponent,3,1,0
11326,4840,QuestComponent,1,1,0
11327,514,Sphere,32,1076,0
11328,513,Sphere,32,1076,0
11329,501,Sphere,32,1076,0
11404,27,QuestComponent,1,11,0
11407,51,QuestComponent,1,11,0
11462,517,Sphere,32,1099,0
11463,518,Sphere,32,1099,0
11478,530,Sphere,32,15,0
11685,533,Sphere,36,18,0
11817,12157,Skill,27,4753,0
11839,538,Sphere,36,18,0
11846,560,Sphere,32,1066,0
11848,562,Sphere,1,7,0
11879,12174,Skill,27,6042,0
11951,12185,Skill,27,6043,0
12167,582,Sphere,32,1102,0
12195,12242,Skill,12,0,0
12226,7414,QuestComponent,1,20,0
