id,normal,damaged50,dying,dead,wheel,turret_pitch_angle_max,lin_inertia,lin_deaccel_inertia,rot_inertia,rot_deaccel_inertia,velocity,angVel,can_fly,driver_walk,wheel2,turret_yaw_angvel,turret_pitch_angvel,damaged25,damaged75,floating_height,floating_wave_height,floating_wave_period_ratio,auto_level,trail_align_ratio,sound_id,susp_stroke,max_climb_ang,susp_axle,turret_yaw_angle_max,installed_turret,use_proxy_collision,use_center_spindle,turret_pitch_angle_min,turret_yaw_angle_min,use_wheeled_vehicle_simulation,wheeled_vehicle_mass,wheeled_vehicle_power,wheeled_vehicle_brake_torque,wheeled_vehicle_max_gear,wheeled_vehicle_gear_speed_ratio_reverse,wheeled_vehicle_gear_speed_ratio_1,wheeled_vehicle_gear_speed_ratio_2,wheeled_vehicle_gear_speed_ratio_3,wheeled_vehicle_susp_stroke,wheeled_vehicle_susp_damping,wheeled_vehicle_drive,wheeled_vehicle_front_optimal_sa,wheeled_vehicle_rear_optimal_sa,wheeled_vehicle_ballast_mass,wheeled_vehicle_ballast_pos_y
1,cga://objects/Env/06_unit/04_siegeweapon/siege_catapult_a.chr,,,,cgf://objects/Env/06_unit/04_siegeweapon/siege_catapultwheel_a.cgf,0.7,0.0,0.0,0.0,0.0,2.0,0.3,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,-0.7,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
2,prefab://prefabs/siege_weapon.xml/trebuchet_a.trebuchet_a,prefab://prefabs/siege_weapon.xml/trebuchet_a.trebuchet_a,prefab://prefabs/siege_weapon.xml/trebuchet_a.trebuchet_a_dying,prefab://prefabs/siege_weapon.xml/trebuchet_a.trebuchet_a_dead,cgf://objects/Env/06_unit/04_siegeweapon/siege_tower_wheel.cgf,70.0,0.4,0.4,0.2,0.2,2.5,0.3,f,f,,0.1,10.0,prefab://prefabs/siege_weapon.xml/trebuchet_a.trebuchet_a,prefab://prefabs/siege_weapon.xml/trebuchet_a.trebuchet_a_demage75,0.0,0.0,0.0,f,0.0,,0.0,45.0,f,180.0,t,t,f,-10.0,-180.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
3,prefab://Prefabs/siege_weapon.xml/ground.palintonos,,,prefab://Prefabs/siege_weapon.xml/ground.palinton_a_dead,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,f,t,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,-0.2,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
4,prefab://Prefabs/siege_weapon.xml/ground.ram,,,prefab://Prefabs/siege_weapon.xml/ground.ram_a_dead,cgf://objects/Env/architecture/siege/siegeweapon/ram_a/ram_a_wheel.cgf,0.0,0.0,0.0,0.0,0.0,2.0,0.3,f,t,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
5,prefab://prefabs/siege_tower.xml/siege_tower.siege_tower_normal,prefab://prefabs/siege_tower.xml/siege_tower.siege_tower_normal,prefab://prefabs/siege_tower.xml/siege_tower.siege_tower_dying,prefab://prefabs/siege_tower.xml/siege_tower.siege_tower_dead,cgf://objects/Env/06_unit/04_siegeweapon/siege_tower_wheel.cgf,0.0,0.5,0.5,0.2,0.2,3.0,0.3,f,f,,90.0,45.0,prefab://prefabs/siege_tower.xml/siege_tower.siege_tower_normal,prefab://prefabs/siege_tower.xml/siege_tower.siege_tower_damaged75,0.0,0.0,0.0,f,0.0,,0.0,75.0,f,f,f,t,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
6,prefab://Prefabs/siege_weapon.xml/ground.ballista_a,,,prefab://Prefabs/siege_weapon.xml/ground.ballista_a_dead,,0.1,0.0,0.0,0.0,0.0,3.5,0.8,f,f,,360.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,-0.1,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
7,cgf://objects/Env/06_unit/05_carriage/carriage_a.cgf,,,,cgf://objects/Env/06_unit/05_carriage/wheel_front.cgf,0.0,0.3,0.1,0.3,0.1,13.0,1.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
9,cgf://Objects/Env/01_nuia/001_ndeco/old/ferryboat_b.cgf,,,,,0.0,0.3,0.1,0.3,0.1,4.0,1.0,t,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
10,prefab://prefabs/galleon.xml/galleon.cannon,,,prefab://prefabs/galleon.xml/galleon.cannon,,35.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,35.0,20.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,22.0,f,f,f,-20.0,-22.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
13,prefab://Prefabs/siege_weapon.xml/ground.ballista_a,,,prefab://Prefabs/siege_weapon.xml/ground.ballista_a_dead,,0.1,0.0,0.0,0.0,0.0,3.5,0.8,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,0,0.0,60.0,f,f,f,f,f,-0.1,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
