id,wi_id,lp,apply_expert,distance_sqrt
1,37,1,t,0
2,38,1,t,0
3,39,1,t,0
4,40,1,t,0
5,41,1,t,0
6,42,1,t,0
7,43,1,t,0
8,44,1,t,0
9,45,1,t,0
10,46,1,t,0
11,47,1,t,0
12,48,1,t,0
13,49,1,t,0
14,50,1,t,0
15,51,1,t,0
16,52,1,t,0
17,53,1,t,0
18,54,1,t,0
19,55,1,t,0
20,56,1,t,0
21,57,1,t,0
22,58,1,t,0
23,59,1,t,0
24,60,1,t,0
25,61,1,t,0
26,62,1,t,0
27,63,1,t,0
28,64,1,t,0
29,65,1,t,0
30,66,1,t,0
31,67,1,t,0
32,68,1,t,0
33,73,1,t,0
34,1,1,t,0
35,69,1,t,0
36,70,1,t,0
37,71,1,t,0
38,20,1,t,0
39,72,1,t,0
40,91,1,t,0
41,74,1,t,0
42,75,1,t,0
43,76,1,t,0
44,77,1,t,0
45,78,1,t,0
46,79,1,t,0
47,80,1,t,0
48,81,1,t,0
49,82,1,t,0
50,83,1,t,0
51,84,1,t,0
52,85,1,t,0
53,86,1,t,0
54,87,1,t,0
55,88,1,t,0
56,89,1,t,0
57,90,1,t,0
58,15,1,t,0
59,35,1,t,0
60,22,1,f,0
